Rk;Player;Salary;Team
1;Paul Millsap;19000000;ATL
2;Al Horford;12000000;ATL
3;Tiago Splitter;8500000;ATL
4;Jeff Teague;8000000;ATL
5;Kyle Korver;5746479;ATL
6;Thabo Sefolosha;4000000;ATL
7;Mike Scott;3333333;ATL
8;Kirk Hinrich;2870000;ATL
9;Kent Bazemore;2000000;ATL
10;Dennis Schroder;1763400;ATL
11;Tim Hardaway;1304520;ATL
12;Walter Tavares;1000000;ATL
13;Mike Muscala;947276;ATL
14;Lamar Patterson;525093;ATL
15;Kris Humphries;388025;ATL
16;Terran Petteway;75000;ATL
1;David Lee;15493680;BOS
2;Amir Johnson;12000000;BOS
3;Avery Bradley;7730337;BOS
4;Isaiah Thomas;6912869;BOS
5;Jae Crowder;6000000;BOS
6;Jonas Jerebko;5000000;BOS
7;Marcus Smart;3431040;BOS
8;Evan Turner;3425510;BOS
9;Tyler Zeller;2616975;BOS
10;Jared Sullinger;2269260;BOS
11;Kelly Olynyk;2165160;BOS
12;Zoran Dragic;2050397;BOS
13;Perry Jones;2038206;BOS
14;Terry Rozier;1824360;BOS
15;James Young;1749840;BOS
16;Jordan Mickey;1200000;BOS
17;R.J. Hunter;1148640;BOS
18;Coty Clarke;61776;BOS
19;Corey Walden;25000;BOS
20;Malcolm Miller;25000;BOS
21;Levi Randolph;25000;BOS
22;John Holland;9266;BOS
1;Joe Johnson;24894863;BRK
2;Brook Lopez;20000000;BRK
3;Thaddeus Young;11200000;BRK
4;Jarrett Jack;6300000;BRK
5;Deron Williams;5500000;BRK
6;Bojan Bogdanovic;3425510;BRK
7;Sergey Karasev;1599840;BRK
8;Shane Larkin;1500000;BRK
9;Wayne Ellington;1500000;BRK
10;Andrea Bargnani;1362900;BRK
11;Rondae Hollis-Jefferson;1335480;BRK
12;Chris McCullough;1140240;BRK
13;Donald Sloan;1015421;BRK
14;Thomas Robinson;981300;BRK
15;Willie Reed;947276;BRK
16;Markel Brown;845059;BRK
17;Sean Kilpatrick;320594;BRK
18;Henry Sims;161622;BRK
19;Ryan Boatright;75000;BRK
20;Quincy Miller;50000;BRK
1;Al Jefferson;13833333;CHO
2;Nicolas Batum;12235750;CHO
3;Kemba Walker;12000000;CHO
4;Marvin Williams;7000000;CHO
5;Michael Kidd-Gilchrist;6331404;CHO
6;Courtney Lee;5675000;CHO
7;Spencer Hawes;5543725;CHO
8;Cody Zeller;4204200;CHO
9;Jeremy Lamb;3034356;CHO
10;Frank Kaminsky;2612500;CHO
11;Jeremy Lin;2100000;CHO
12;Tyler Hansbrough;1185784;CHO
13;Troy Daniels;947276;CHO
14;Aaron Harrison;525093;CHO
15;Jorge Gutierrez;301444;CHO
16;Elliot Williams;80000;CHO
1;Derrick Rose;20093063;CHI
2;Jimmy Butler;15260000;CHI
3;Joakim Noah;13400000;CHI
4;Taj Gibson;8500000;CHI
5;Pau Gasol;7448760;CHI
6;Nikola Mirotic;5543725;CHI
7;Mike Dunleavy;4500000;CHI
8;Doug McDermott;2380440;CHI
9;Aaron Brooks;2000000;CHI
10;Tony Snell;1535880;CHI
11;Bobby Portis;1391160;CHI
12;ETwaun Moore;1015421;CHI
13;Justin Holiday;947300;CHI
14;Cameron Bairstow;845059;CHI
15;Cristiano Felicio;525090;CHI
1;LeBron James;22971000;CLE
2;Kevin Love;19500000;CLE
3;Kyrie Irving;14746000;CLE
4;Tristan Thompson;14260870;CLE
5;Iman Shumpert;9000000;CLE
6;Channing Frye;7807579;CLE
7;J.R. Smith;5000000;CLE
8;Timofey Mozgov;4950000;CLE
9;Mo Williams;2100000;CLE
10;James Jones;1499000;CLE
11;Richard Jefferson;1499000;CLE
12;Sasha Kaun;1300000;CLE
13;Matthew Dellavedova;1147280;CLE
14;Jordan McRae;172972;CLE
15;Dahntay Jones;8819;CLE
1;Wesley Matthews;16400000;DAL
2;Chandler Parsons;15361500;DAL
3;Dirk Nowitzki;8333334;DAL
4;Deron Williams;5500000;DAL
5;Zaza Pachulia;5200000;DAL
6;Devin Harris;4053000;DAL
7;J.J. Barea;4000000;DAL
8;Raymond Felton;3950313;DAL
9;David Lee;2102224;DAL
10;Charlie Villanueva;1499187;DAL
11;Samuel Dalembert;1499187;DAL
12;Justin Anderson;1449000;DAL
13;JaVale McGee;1270964;DAL
14;Jeremy Evans;1100602;DAL
15;Dwight Powell;845059;DAL
16;Maurice Ndour;525094;DAL
17;Salah Mejri;525093;DAL
18;Gal Mekel;315760;DAL
19;Brandon Ashley;50000;DAL
20;Jamil Wilson;50000;DAL
21;Jarrid Famous;10000;DAL
1;Danilo Gallinari;14000000;DEN
2;Kenneth Faried;11235955;DEN
3;Wilson Chandler;10500000;DEN
4;J.J. Hickson;5613500;DEN
5;Jameer Nelson;4500000;DEN
6;Steve Novak;3750000;DEN
7;Will Barton;3333333;DEN
8;Emmanuel Mudiay;3102240;DEN
9;D.J. Augustin;3000000;DEN
10;Darrell Arthur;2814000;DEN
11;Jusuf Nurkic;1842000;DEN
12;Joffrey Lauvergne;1709720;DEN
13;Gary Harris;1587480;DEN
14;Mike Miller;1499187;DEN
15;Nikola Jokic;1300000;DEN
16;Joey Dorsey;1015421;DEN
17;Nick Johnson;845059;DEN
18;Kostas Papanikolaou;350000;DEN
19;JaKarr Sampson;285489;DEN
20;Axel Toupane;123552;DEN
21;Erick Green;100000;DEN
22;Sean Kilpatrick;99418;DEN
1;Tobias Harris;16000000;DET
2;Reggie Jackson;14000000;DET
3;Aron Baynes;6500000;DET
4;Jodie Meeks;6270000;DET
5;Josh Smith;5400000;DET
6;Marcus Morris;5000000;DET
7;Andre Drummond;3272091;DET
8;Anthony Tolliver;3000000;DET
9;Kentavious Caldwell-Pope;2891760;DET
10;Stanley Johnson;2841960;DET
11;Joel Anthony;2500000;DET
12;Danny Granger;2170465;DET
13;Steve Blake;2170465;DET
14;Cartier Martin;1270964;DET
15;Reggie Bullock;1252440;DET
16;Spencer Dinwiddie;845059;DET
17;Darrun Hilliard;525093;DET
18;Aaron Gray;452059;DET
19;Lorenzo Brown;117016;DET
20;Justin Harper;99418;DET
21;Adonis Thomas;60000;DET
1;Klay Thompson;15500000;GSW
2;Draymond Green;14300000;GSW
3;Andrew Bogut;12000000;GSW
4;Andre Iguodala;11710456;GSW
5;Stephen Curry;11370786;GSW
6;Jason Thompson;6431250;GSW
7;Shaun Livingston;5543725;GSW
8;Harrison Barnes;3873398;GSW
9;Marreese Speights;3815000;GSW
10;Leandro Barbosa;2500000;GSW
11;Festus Ezeli;2008748;GSW
12;Brandon Rush;1270964;GSW
13;Kevon Looney;1131960;GSW
14;Ian Clark;947276;GSW
15;James Michael McAdoo;845059;GSW
16;Anderson Varejao;458575;GSW
1;Dwight Howard;22359364;HOU
2;James Harden;15756438;HOU
3;Ty Lawson;12404495;HOU
4;Corey Brewer;8200000;HOU
5;Trevor Ariza;8193030;HOU
6;Patrick Beverley;6500000;HOU
7;K.J. McDaniels;3333333;HOU
8;Terrence Jones;2489530;HOU
9;Donatas Motiejunas;2288205;HOU
10;Sam Dekker;1646400;HOU
11;Jason Terry;1499187;HOU
12;Josh Smith;1499000;HOU
13;Clint Capela;1242720;HOU
14;Marcus Thornton;1186000;HOU
15;Montrezl Harrell;1000000;HOU
16;Michael Beasley;306527;HOU
17;Andrew Goudelock;200600;HOU
18;Chuck Hayes;83583;HOU
1;Paul George;17120106;IND
2;Monta Ellis;10300000;IND
3;George Hill;8000000;IND
4;Rodney Stuckey;6500000;IND
5;Chase Budinger;5000000;IND
6;C.J. Miles;4394225;IND
7;Jordan Hill;4000000;IND
8;Ian Mahinmi;4000000;IND
9;Lavoy Allen;3700000;IND
10;Myles Turner;2357760;IND
11;Solomon Hill;1358880;IND
12;Rakeem Christmas;1000000;IND
13;Joseph Young;1000000;IND
14;Shayne Whittington;845059;IND
15;Glenn Robinson;845000;IND
16;Toney Douglas;600000;IND
17;Ty Lawson;265058;IND
1;Chris Paul;21468696;LAC
2;DeAndre Jordan;19500000;LAC
3;Blake Griffin;18907725;LAC
4;Jeff Green;9200000;LAC
5;J.J. Redick;6867000;LAC
6;Jamal Crawford;5675000;LAC
7;Paul Pierce;3400000;LAC
8;Austin Rivers;3100000;LAC
9;Luc Mbah a Moute;1270964;LAC
10;C.J. Wilcox;1159680;LAC
11;Wesley Johnson;1100600;LAC
12;Cole Aldrich;1100600;LAC
13;Pablo Prigioni;981348;LAC
14;Carlos Delfino;650000;LAC
15;Branden Dawson;525093;LAC
16;Jeff Ayres;317232;LAC
17;Miroslav Raduljica;300000;LAC
18;Alex Stepheson;61776;LAC
1;Kobe Bryant;25000000;LAL
2;Roy Hibbert;15500000;LAL
3;Lou Williams;7000000;LAL
4;Nick Young;5219169;LAL
5;DAngelo Russell;5103120;LAL
6;Julius Randle;3132240;LAL
7;Brandon Bass;3000000;LAL
8;Ryan Kelly;1724250;LAL
9;Metta World Peace;1499187;LAL
10;Larry Nance Jr.;1155600;LAL
11;Robert Sacre;981348;LAL
12;Jordan Clarkson;845059;LAL
13;Tarik Black;845059;LAL
14;Anthony Brown;700000;LAL
15;Marcelo Huertas;525093;LAL
16;Jonathan Holmes;100000;LAL
17;Michael Frazier;50000;LAL
18;Robert Upshaw;35000;LAL
1;Marc Gasol;19700000;MEM
2;Zach Randolph;9638555;MEM
3;Mike Conley;9588426;MEM
4;Lance Stephenson;9000000;MEM
5;Brandan Wright;5500000;MEM
6;Tony Allen;5168539;MEM
7;Chris Andersen;5000000;MEM
8;Mario Chalmers;4300000;MEM
9;Vince Carter;4088091;MEM
10;Matt Barnes;3542500;MEM
11;Jordan Adams;1404600;MEM
12;Jarell Martin;1230840;MEM
13;P.J. Hairston;1201440;MEM
14;James Ennis;845059;MEM
15;JaMychal Green;845059;MEM
16;Russ Smith;816482;MEM
17;Ryan Hollins;593056;MEM
18;Jordan Farmar;191456;MEM
19;Ray McCallum;111444;MEM
20;Xavier Munford;89588;MEM
21;Bryce Cotton;64622;MEM
22;Elliot Williams;55722;MEM
23;Briante Weber;30888;MEM
24;Alex Stepheson;30888;MEM
1;Chris Bosh;22192730;MIA
2;Dwyane Wade;20000000;MIA
3;Goran Dragic;14780000;MIA
4;Luol Deng;10151612;MIA
5;Josh McRoberts;5543725;MIA
6;Udonis Haslem;2854940;MIA
7;Justise Winslow;2481720;MIA
8;Beno Udrih;2170465;MIA
9;Amare Stoudemire;1499187;MIA
10;Gerald Green;1356000;MIA
11;Hassan Whiteside;981348;MIA
12;Tyler Johnson;845059;MIA
13;Josh Richardson;525093;MIA
14;Joe Johnson;414481;MIA
15;Dorell Wright;17637;MIA
16;Briante Weber;12355;MIA
1;Greg Monroe;16400000;MIL
2;Khris Middleton;15000000;MIL
3;O.J. Mayo;8000000;MIL
4;Greivis Vasquez;6600000;MIL
5;Jabari Parker;5152440;MIL
6;Jerryd Bayless;3000000;MIL
7;John Henson;2943221;MIL
8;Michael Carter-Williams;2399040;MIL
9;Miles Plumlee;2109294;MIL
10;Giannis Antetokounmpo;1953960;MIL
11;Larry Sanders;1865547;MIL
12;Rashad Vaughn;1733040;MIL
13;Tyler Ennis;1662360;MIL
14;Damien Inglis;855000;MIL
15;Johnny OBryant;845059;MIL
16;Steve Novak;416886;MIL
17;Jared Cunningham;57726;MIL
1;Ricky Rubio;12365000;MIN
2;Nikola Pekovic;12100000;MIN
3;Kevin Garnett;8500000;MIN
4;Kevin Martin;7085000;MIN
5;Andrew Wiggins;5758680;MIN
6;Karl-Anthony Towns;5703600;MIN
7;Nemanja Bjelica;4000000;MIN
8;Anthony Bennett;3650000;MIN
9;Zach LaVine;2148360;MIN
10;Shabazz Muhammad;2056920;MIN
11;Adreian Payne;1938840;MIN
12;Andre Miller;1499187;MIN
13;Tayshaun Prince;1499187;MIN
14;Gorgui Dieng;1474440;MIN
15;Tyus Jones;1282080;MIN
16;Damjan Rudez;1149500;MIN
17;Greg Smith;247623;MIN
1;Eric Gordon;15514031;NOP
2;Tyreke Evans;11227000;NOP
3;Omer Asik;11000000;NOP
4;Jrue Holiday;10595507;NOP
5;Ryan Anderson;8500000;NOP
6;Anthony Davis;7070730;NOP
7;Alexis Ajinca;4300000;NOP
8;Quincy Pondexter;3382023;NOP
9;Norris Cole;3036927;NOP
10;Dante Cunningham;3000000;NOP
11;Kendrick Perkins;1499200;NOP
12;Alonzo Gee;1375000;NOP
13;Toney Douglas;1164858;NOP
14;Luke Babbitt;1100000;NOP
15;Jarnell Stokes;845059;NOP
16;Bryce Dejean-Jones;281659;NOP
17;Tim Frazier;144157;NOP
18;Jordan Hamilton;119462;NOP
19;James Ennis;74564;NOP
20;Orlando Johnson;55722;NOP
21;Jimmer Fredette;54812;NOP
22;Nate Robinson;44000;NOP
1;Carmelo Anthony;22875000;NYK
2;Robin Lopez;13000000;NYK
3;Arron Afflalo;8000000;NYK
4;Jose Calderon;7402812;NYK
5;Derrick Williams;4900000;NYK
6;Kristaps Porzingis;4131720;NYK
7;Kyle OQuinn;3750000;NYK
8;Kevin Seraphin;2800000;NYK
9;Lou Amundson;1650000;NYK
10;Lance Thomas;1650000;NYK
11;Jerian Grant;1572360;NYK
12;Sasha Vujacic;1356146;NYK
13;Cleanthony Early;845059;NYK
14;Langston Galloway;845059;NYK
15;Tony Wroten;167406;NYK
16;Thanasis Antetokounmpo;105888;NYK
17;Wesley Saunders;75000;NYK
18;Darion Atkins;75000;NYK
19;Jimmer Fredette;59731;NYK
20;Travis Trice;50000;NYK
1;Kevin Durant;20158622;OKC
2;Russell Westbrook;16744218;OKC
3;Enes Kanter;16400000;OKC
4;Serge Ibaka;12350000;OKC
5;Dion Waiters;5138430;OKC
6;Kyle Singler;5000000;OKC
7;Nick Collison;3750000;OKC
8;Anthony Morrow;3344000;OKC
9;Randy Foye;3270000;OKC
10;Steven Adams;2279040;OKC
11;Cameron Payne;2021520;OKC
12;Mitch McGary;1463040;OKC
13;Andre Roberson;1210800;OKC
14;Josh Huestis;1140240;OKC
15;Nazr Mohammed;352750;OKC
1;Nikola Vucevic;11250000;ORL
2;Brandon Jennings;8344497;ORL
3;Ersan Ilyasova;7900000;ORL
4;Victor Oladipo;5192520;ORL
5;C.J. Watson;5000000;ORL
6;Jason Smith;4300000;ORL
7;Aaron Gordon;4171680;ORL
8;Mario Hezonja;3741480;ORL
9;Elfrid Payton;2505720;ORL
10;Andrew Nicholson;2380594;ORL
11;Evan Fournier;2288205;ORL
12;Shabazz Napier;1294440;ORL
13;Chris Copeland;1100000;ORL
14;Jared Cunningham;981348;ORL
15;Dewayne Dedmon;947278;ORL
16;Devyn Marble;845059;ORL
17;Joe Harris;845059;ORL
18;Keith Appling;161776;ORL
19;Jordan Sibert;100000;ORL
1;JaVale McGee;12000000;PHI
2;Gerald Wallace;10105855;PHI
3;Carl Landry;6500000;PHI
4;Joel Embiid;4626960;PHI
5;Jahlil Okafor;4582680;PHI
6;Nerlens Noel;3457800;PHI
7;Furkan Aldemir;3000000;PHI
8;Nik Stauskas;2869440;PHI
9;Sonny Weems;2800000;PHI
10;Tony Wroten;2179354;PHI
11;Kendall Marshall;2144722;PHI
12;Ish Smith;1100602;PHI
13;Richaun Holmes;1050000;PHI
14;Robert Covington;1000000;PHI
15;Isaiah Canaan;947276;PHI
16;Hollis Thompson;947276;PHI
17;Elton Brand;890693;PHI
18;JaKarr Sampson;845059;PHI
19;Jerami Grant;845059;PHI
20;Pierre Jackson;750000;PHI
21;T.J. McConnell;525093;PHI
22;Christian Wood;305789;PHI
23;Phil Pressey;172739;PHI
1;Eric Bledsoe;13086957;PHO
2;Tyson Chandler;13000000;PHO
3;Brandon Knight;12000000;PHO
4;Mirza Teletovic;5500000;PHO
5;P.J. Tucker;5500000;PHO
6;Kris Humphries;4600000;PHO
7;Alex Len;3807120;PHO
8;Devin Booker;2127840;PHO
9;T.J. Warren;2041080;PHO
10;DeJuan Blair;2000000;PHO
11;Ronnie Price;1499187;PHO
12;Archie Goodwin;1160160;PHO
13;Jon Leuer;1035000;PHO
14;John Jenkins;981000;PHO
15;Cory Jefferson;421449;PHO
16;Chase Budinger;258082;PHO
17;Bryce Cotton;228663;PHO
18;Alan Williams;114285;PHO
19;Phil Pressey;111444;PHO
20;Lorenzo Brown;111444;PHO
21;Jordan McRae;61776;PHO
22;Orlando Johnson;55722;PHO
1;Anderson Varejao;9638554;POR
2;Al-Farouq Aminu;7500000;POR
3;Ed Davis;7000000;POR
4;Gerald Henderson;6000000;POR
5;Chris Kaman;5000000;POR
6;Damian Lillard;4236287;POR
7;Meyers Leonard;3075880;POR
8;Maurice Harkless;2894059;POR
9;Brian Roberts;2854940;POR
10;Mike Miller;2854940;POR
11;Noah Vonleh;2637720;POR
12;C.J. McCollum;2525160;POR
13;Mason Plumlee;1415520;POR
14;Allen Crabbe;947276;POR
15;Tim Frazier;845059;POR
16;Luis Montero;525093;POR
17;Pat Connaughton;525093;POR
