"Team";"salary_mean";"salary_sd";"per_mean";"per_median";"age_mean";"age_sd";"salary5_sum";"salary5_mean";"salary610_sum";"salary610_mean";"Time";"conf";"posicao"
"ATL";4.70597442857143;4.53023686858477;12.8923076923077;14.8;26;3.82970843102535;48.854371;9.7708742;14.237975;2.847595;"Atlanta Hawks";"E";8
"BOS";6.41218246153846;6.97236821910504;15.15;15.45;27.75;4.18058282148228;65.076572;13.0153144;15.008715;3.001743;"Boston Celtics";"E";2
"BRK";3.49215970588235;2.67316654891619;12.46;12;25.3333333333333;3.8483144114695;33.902;6.7804;14.600347;2.9200694;"Brooklyn Nets";"E";30
"CHI";4.10002111764706;3.66961828643517;13.5;13.9;27.6153846153846;5.18874521662771;45.187025;9.037405;15.43968;3.087936;"Chicago Bulls";"E";16
"CHO";4.90583985714286;3.62072911986936;12.6833333333333;13.55;26.1666666666667;4.30292360089643;44.0416;8.80832;20.619154;4.1238308;"Charlotte Hornets";"E";16
"CLE";4.90579611764706;5.88090762822877;15.1076923076923;14.1;25.5384615384615;3.68816541149717;62.581007;12.5162014;16.23698;3.247396;"Cleveland Cavaliers";"E";8
"DAL";6.73920153846154;5.29865738975508;13.8454545454545;15.7;30.4545454545455;2.423371055519;59.554684;11.9109368;24.321996;4.8643992;"Dallas Mavericks";"W";16
"DEN";5.53350292307692;5.77647518201008;13.7545454545455;13.6;27.1818181818182;4.0204025126393;59.271974;11.8543948;9.807562;1.9615124;"Denver Nuggets";"W";16
"DET";4.17041664285714;3.94078629657809;14.6818181818182;15;27.2727272727273;3.90104881002299;43.44938;8.689876;11.889335;2.377867;"Detroit Pistons";"E";24
"GSW";3.81006476470588;3.36407317109747;13.1333333333333;14.5;25.3333333333333;3.86683086679272;40.654531;8.1309062;17.863454;3.5726908;"Golden State Warriors";"W";26
"HOU";3.82375361111111;4.12813732923224;13.1416666666667;11.8;26.75;4.02548698352702;45.743295;9.148659;14.460078;2.8920156;"Houston Rockets";"W";18
"IND";4.26221713333333;3.81085066991737;13.8416666666667;13.35;25.6666666666667;3.05505046330389;45.336611;9.0673222;13.23332;2.646664;"Indiana Pacers";"E";20
"LAC";3.42313383333333;3.26793669070931;12.14;13.8;26.4375;3.68725281657406;36.96348;7.392696;16.10488;3.220976;"Los Angeles Clippers";"W";24
"LAL";7.02908184615385;6.56740519491417;14.5615384615385;13.9;26.6153846153846;3.68642694078475;65.367373;13.0734746;22.145229;4.4290458;"Los Angeles Lakers";"W";1
"MEM";3.30210517647059;3.75741243438845;17.3727272727273;15.3;24.2727272727273;4.33799283288733;35.6082;7.12164;14.934158;2.9868316;"Memphis Grizzlies";"W";20
"MIA";5.24677714285714;6.71273356478087;13.0246153846154;11.6;25.6923076923077;3.30112645886762;59.886912;11.9773824;10.768917;2.1537834;"Miami Heat";"E";16
"MIL";4.4071336;4.41010870299842;12.43;12.6;29;4.66666666666667;45.74526;9.149052;15.16452;3.032904;"Milwaukee Bucks";"E";16
"MIN";3.843335;3.07692879829848;12.1357142857143;12.8;25;4;37.19358;7.438716;16.257107;3.2514214;"Minnesota Timberwolves";"W";30
"NOP";5.39186992307692;4.84863084633108;15.6909090909091;12.6;27.6363636363636;4.05642027587693;52.739397;10.5478794;15.011646;3.0023292;"New Orleans Pelicans";"W";22
"NYK";5.71400506666667;6.02640837318286;13.7758333333333;13.15;26.1666666666667;4.15239981726522;60.26686;12.053372;20.624875;4.124975;"New York Knicks";"E";22
"OKC";3.07571821052632;2.46983595594351;13.35;13;26.1428571428571;5.1717746226274;32.1;6.42;18.883268;3.7766536;"Oklahoma City Thunder";"W";16
"ORL";6.32314738461538;6.25716366645177;16.5363636363636;16.8;26.7272727272727;4.62797815662324;62.371478;12.4742956;15.899408;3.1798816;"Orlando Magic";"E";4
"PHI";4.634532;4.85959797976444;13.77;13.9;26.5;4.22295315310664;50.269625;10.053925;10.65996;2.131992;"Philadelphia 76ers";"E";26
"PHO";4.57418171428571;5.5172315132115;12.32375;10.845;25.5;3.70328039909021;52.436658;10.4873316;8.65544;1.731088;"Phoenix Suns";"W";4
"POR";3.78705246666667;2.96810607418237;14.115;15.8;25.8333333333333;5.44114515576093;36.083352;7.2166704;17.065591;3.4131182;"Portland Trail Blazers";"W";16
"SAC";3.55345884210526;3.61028544841762;11.4666666666667;12.3;26.4666666666667;4.22351692764398;42.562068;8.5124136;16.7788;3.35576;"Sacramento Kings";"W";28
"SAS";5.66702207142857;6.64839047468953;16.1;15;28.4545454545455;4.43539482715206;64.21135;12.84227;11.6817;2.33634;"San Antonio Spurs";"W";8
"TOR";4.2389020625;4.09030905220419;13.9266666666667;13.5;25;3.07059789431495;44.486412;8.8972824;17.113649;3.4227298;"Toronto Raptors";"E";18
"UTA";5.99210366666667;5.71289295051746;15.18;16;24.4;3.16929715306792;58.989332;11.7978664;12.189155;2.437831;"Utah Jazz";"W";8
"WAS";4.590017125;4.86131163257773;13.7866666666667;13.7;26.4666666666667;4.10342481813609;54.839754;10.9679508;12.290761;2.4581522;"Washington Wizards";"E";28
