Rk;Player;Salary;Team
1;Joe Johnson;14976754;ATL
2;Josh Smith;10800000;ATL
3;Jamal Crawford;9360000;ATL
4;Marvin Williams;7500000;ATL
5;Mike Bibby;6217617;ATL
6;Zaza Pachulia;4750000;ATL
7;Al Horford;4307640;ATL
8;Maurice Evans;2500000;ATL
9;Jeff Teague;1373880;ATL
10;Joe Smith;1306455;ATL
11;Jason Collins;1181803;ATL
12;Randolph Morris;855189;ATL
13;Mario West;446740;ATL
14;Othello Hunter;307564;ATL
1;Paul Pierce;19795712;BOS
2;Ray Allen;18776860;BOS
3;Kevin Garnett;16400000;BOS
4;Rasheed Wallace;5854000;BOS
5;Kendrick Perkins;4250000;BOS
6;Nate Robinson;4000000;BOS
7;Brian Scalabrine;3413793;BOS
8;Glen Davis;3000000;BOS
9;Tony Allen;2500000;BOS
10;Rajon Rondo;2094922;BOS
11;Marquis Daniels;1990000;BOS
12;Shelden Williams;825497;BOS
13;Marcus Landry;457588;BOS
14;Lester Hudson;193802;BOS
1;Bobby Simmons;10560000;BRK
2;Devin Harris;8400000;BRK
3;Tony Battie;6292000;BRK
4;Trenton Hassell;4350000;BRK
5;Rafer Alston;4300000;BRK
6;Keyon Dooling;3564000;BRK
7;Kris Humphries;3200000;BRK
8;Yi Jianlian;3194400;BRK
9;Shawne Williams;2416067;BRK
10;Brook Lopez;2225880;BRK
11;Jarvis Hayes;2062800;BRK
12;Terrence Williams;2060040;BRK
13;Josh Boone;2056968;BRK
14;Sean Williams;1629120;BRK
15;Courtney Lee;1264440;BRK
16;Chris Quinn;1055000;BRK
17;Chris Douglas-Roberts;736000;BRK
1;Tyson Chandler;11850000;CHO
2;Gerald Wallace;9075000;CHO
3;Boris Diaw;9000000;CHO
4;Stephen Jackson;7650000;CHO
5;Nazr Mohammed;6466600;CHO
6;DeSagana Diop;6031800;CHO
7;Raymond Felton;5501196;CHO
8;Tyrus Thomas;4743598;CHO
9;D.J. Augustin;2385480;CHO
10;Gerald Henderson;1957080;CHO
11;Alexis Ajinca;1372080;CHO
12;Theo Ratliff;1306455;CHO
13;Stephen Graham;884881;CHO
14;Derrick Brown;457588;CHO
1;Brad Miller;12250000;CHI
2;Luol Deng;10370425;CHI
3;Kirk Hinrich;9500000;CHI
4;Jerome James;6600000;CHI
5;Tim Thomas;6466600;CHI
6;Derrick Rose;5184480;CHI
7;Hakim Warrick;3000000;CHI
8;Joe Alexander;2583360;CHI
9;Joakim Noah;2455680;CHI
10;Acie Law;2216160;CHI
11;Jannero Pargo;2000000;CHI
12;Ronald Murray;1990000;CHI
13;James Johnson;1594080;CHI
14;Lindsey Hunter;1306455;CHI
15;Devin Brown;1100000;CHI
16;Taj Gibson;1039800;CHI
17;Chris Richard;43319;CHI
1;Shaquille ONeal;20000000;CLE
2;LeBron James;15779912;CLE
3;Antawn Jamison;11641095;CLE
4;Mo Williams;8860000;CLE
5;Anderson Varejao;6300000;CLE
6;Delonte West;4254250;CLE
7;Daniel Gibson;4088500;CLE
8;Jamario Moon;2750000;CLE
9;Anthony Parker;2644230;CLE
10;Sebastian Telfair;2500000;CLE
11;J.J. Hickson;1429200;CLE
12;Leon Powe;855189;CLE
13;Darnell Jackson;736420;CLE
14;Jawad Williams;736420;CLE
15;Danny Green;457588;CLE
16;Coby Karl;311896;CLE
17;Cedric Jackson;53834;CLE
1;Dirk Nowitzki;19795714;DAL
2;Erick Dampier;12115500;DAL
3;Jason Terry;9862500;DAL
4;Caron Butler;9780970;DAL
5;Jason Kidd;8000000;DAL
6;Shawn Marion;6635068;DAL
7;Brendan Haywood;6000000;DAL
8;Matt Carroll;4700000;DAL
9;DeShawn Stevenson;3886928;DAL
10;Eduardo Najera;3100000;DAL
11;Jose Barea;1657500;DAL
12;Tim Thomas;1306455;DAL
13;Rodrigue Beaubois;1075440;DAL
14;Greg Buckner;1000000;DAL
1;Carmelo Anthony;15779912;DEN
2;Kenyon Martin;15363636;DEN
3;Chauncey Billups;12100000;DEN
4;Nene;10520000;DEN
5;J.R. Smith;5508426;DEN
6;Chris Andersen;3650000;DEN
7;Antonio McDyess;3000000;DEN
8;Renaldo Balkman;2112417;DEN
9;Ty Lawson;1438690;DEN
10;Anthony Carter;1306455;DEN
11;Malik Allen;1300000;DEN
12;Arron Afflalo;1086240;DEN
13;Joey Graham;884881;DEN
14;Johan Petro;884881;DEN
1;Richard Hamilton;11625000;DET
2;Tayshaun Prince;10324380;DET
3;Ben Gordon;10000000;DET
4;Charlie Villanueva;6500000;DET
5;Jason Maxiell;5000000;DET
6;Kwame Brown;4100000;DET
7;Chris Wilcox;3000000;DET
8;Rodney Stuckey;1805040;DET
9;Fabricio Oberto;1800000;DET
10;Austin Daye;1677840;DET
11;Chucky Atkins;1306455;DET
12;Ben Wallace;1306445;DET
13;Will Bynum;825497;DET
14;Jonas Jerebko;457588;DET
15;DaJuan Summers;457588;DET
1;Monta Ellis;11000000;GSW
2;Andris Biedrins;9000000;GSW
3;Corey Maggette;8937931;GSW
4;Vladimir Radmanovic;6466600;GSW
5;Raja Bell;5250000;GSW
6;Speedy Claxton;5209454;GSW
7;Ronny Turiaf;4140000;GSW
8;Kelenna Azubuike;3132000;GSW
9;Stephen Curry;2710560;GSW
10;Brandan Wright;2671440;GSW
11;Anthony Randolph;1837560;GSW
12;Devean George;1600000;GSW
13;C.J. Watson;1000497;GSW
14;Anthony Morrow;736420;GSW
15;Chris Hunter;632455;GSW
16;Mikki Moore;537952;GSW
17;Anthony Tolliver;359546;GSW
18;Cartier Martin;86638;GSW
19;Coby Karl;43319;GSW
1;Yao Ming;16378325;HOU
2;Kevin Martin;10180170;HOU
3;Shane Battier;6864200;HOU
4;Jared Jeffries;6466600;HOU
5;Trevor Ariza;5854000;HOU
6;Brian Cook;3500000;HOU
7;Luis Scola;3375600;HOU
8;Hilton Armstrong;2801198;HOU
9;Jordan Hill;2483280;HOU
10;David Andersen;2300000;HOU
11;Chuck Hayes;2111750;HOU
12;Brent Barry;2062800;HOU
13;Kyle Lowry;2034997;HOU
14;Aaron Brooks;1118520;HOU
15;Jermaine Taylor;725000;HOU
16;Chase Budinger;457588;HOU
17;Pops Mensah-Bonsu;87406;HOU
18;Mike Harris;64978;HOU
19;Will Conroy;48559;HOU
1;Troy Murphy;11047619;IND
2;Danny Granger;9930500;IND
3;Mike Dunleavy;9780992;IND
4;T.J. Ford;8500000;IND
5;Jeff Foster;6077500;IND
6;Jamaal Tinsley;5200000;IND
7;Earl Watson;2800000;IND
8;Dahntay Jones;2500000;IND
9;Brandon Rush;1934160;IND
10;Tyler Hansbrough;1859160;IND
11;Travis Diener;1740000;IND
12;Solomon Jones;1620000;IND
13;Roy Hibbert;1575360;IND
14;Luther Head;884881;IND
15;Josh McRoberts;825497;IND
16;A.J. Price;457588;IND
1;Baron Davis;12150000;LAC
2;Chris Kaman;10400000;LAC
3;Blake Griffin;4983480;LAC
4;Steve Blake;4930000;LAC
5;Drew Gooden;4500000;LAC
6;Travis Outlaw;4000000;LAC
7;Rasual Butler;3945000;LAC
8;Mark Madsen;2840000;LAC
9;Eric Gordon;2819880;LAC
10;Craig Smith;2500000;LAC
11;Ricky Davis;2484000;LAC
12;Mardy Collins;1867742;LAC
13;Brian Skinner;1306455;LAC
14;Steve Novak;855189;LAC
15;Bobby Brown;736420;LAC
16;DeAndre Jordan;736420;LAC
17;Kareem Rush;534906;LAC
18;JamesOn Curry;26917;LAC
1;Kobe Bryant;23034375;LAL
2;Pau Gasol;16452000;LAL
3;Andrew Bynum;12526998;LAL
4;Lamar Odom;7500000;LAL
5;Metta World Peace;5854000;LAL
6;Adam Morrison;5257229;LAL
7;Derek Fisher;5048000;LAL
8;Sasha Vujacic;5000000;LAL
9;Luke Walton;4840000;LAL
10;Shannon Brown;2000000;LAL
11;Jordan Farmar;1947240;LAL
12;Didier Ilunga-Mbenga;959111;LAL
13;Josh Powell;959111;LAL
1;Zach Randolph;16000000;MEM
2;Marko Jaric;7100000;MEM
3;Hasheem Thabeet;4458840;MEM
4;O.J. Mayo;4165560;MEM
5;Mike Conley;3883800;MEM
6;Steven Hunter;3696000;MEM
7;Rudy Gay;3280997;MEM
8;Marc Gasol;3240000;MEM
9;Ronnie Brewer;2717161;MEM
10;Jerry Stackhouse;2000000;MEM
11;Hamed Haddadi;1627779;MEM
12;Darrell Arthur;1050480;MEM
13;DeMarre Carroll;1009680;MEM
14;Jamaal Tinsley;990300;MEM
15;Marcus Williams;855189;MEM
16;Sam Young;824200;MEM
17;Lester Hudson;199185;MEM
18;Allen Iverson;161386;MEM
19;Trey Gilder;26917;MEM
1;Jermaine ONeal;23016000;MIA
2;Dwyane Wade;15779912;MIA
3;Quentin Richardson;9352400;MIA
4;Udonis Haslem;7100000;MIA
5;Michael Beasley;4638600;MIA
6;James Jones;4320000;MIA
7;Dorell Wright;2750000;MIA
8;Daequan Cook;1362120;MIA
9;Jamaal Magloire;1229225;MIA
10;Carlos Arroyo;1107572;MIA
11;Yakhouba Diawara;945000;MIA
12;Joel Anthony;825497;MIA
13;Mario Chalmers;773500;MIA
14;Rafer Alston;753133;MIA
15;Shavlik Randolph;255054;MIA
1;Michael Redd;17040000;MIL
2;Andrew Bogut;10000000;MIL
3;Dan Gadzuric;6749260;MIL
4;Luke Ridnour;6500000;MIL
5;John Salmons;5456000;MIL
6;Kurt Thomas;3800000;MIL
7;Charlie Bell;3596000;MIL
8;Carlos Delfino;3500000;MIL
9;Brandon Jennings;2168520;MIL
10;Ersan Ilyasova;2100000;MIL
11;Bruce Bowen;2000000;MIL
12;Primoz Brezec;1107572;MIL
13;Royal Ivey;1050000;MIL
14;Luc Mbah a Moute;736420;MIL
15;Jerry Stackhouse;668598;MIL
16;Roko Ukic;303232;MIL
1;Al Jefferson;12000000;MIN
2;Mark Blount;7962500;MIN
3;Darko Milicic;7500000;MIN
4;Antonio Daniels;5863580;MIN
5;Ryan Gomes;3867500;MIN
6;Ramon Sessions;3670667;MIN
7;Kevin Love;3401040;MIN
8;Damien Wilkins;3300000;MIN
9;Jonny Flynn;2969280;MIN
10;Corey Brewer;2916120;MIN
11;Ryan Hollins;2183333;MIN
12;Oleksiy Pecherov;1547640;MIN
13;Sasha Pavlovic;1500000;MIN
14;Alando Tucker;1071720;MIN
15;Wayne Ellington;1003560;MIN
16;Chucky Atkins;760000;MIN
17;Nathan Jawai;736420;MIN
1;Chris Paul;13520500;NOP
2;Peja Stojakovic;13392000;NOP
3;Emeka Okafor;10538937;NOP
4;David West;9075000;NOP
5;Morris Peterson;6212960;NOP
6;James Posey;6031800;NOP
7;Darius Songaila;4526000;NOP
8;Julian Wright;2000040;NOP
9;Darren Collison;1266120;NOP
10;Sean Marks;1187686;NOP
11;Aaron Gray;1000497;NOP
12;Ike Diogu;884881;NOP
13;Marcus Thornton;457888;NOP
14;Jason Hart;69518;NOP
1;Tracy McGrady;23239562;NYK
2;Eddy Curry;10500423;NYK
3;Al Harrington;10026875;NYK
4;Cuttino Mobley;9500000;NYK
5;David Lee;7000000;NYK
6;Brian Cardinal;6750000;NYK
7;Chris Duhon;6031800;NYK
8;Danilo Gallinari;3089040;NYK
9;Eddie House;2862000;NYK
10;Sergio Rodriguez;1892035;NYK
11;Wilson Chandler;1255440;NYK
12;J.R. Giddens;1028880;NYK
13;Toney Douglas;996240;NYK
14;Jonathan Bender;801361;NYK
15;Bill Walker;736420;NYK
1;Etan Thomas;7350000;OKC
2;Earl Watson;6600000;OKC
3;Matt Harpring;6500000;OKC
4;Nick Collison;6250000;OKC
5;Nenad Krstic;5400000;OKC
6;Kevin Durant;4796880;OKC
7;James Harden;4054160;OKC
8;Russell Westbrook;3755640;OKC
9;Jeff Green;3516960;OKC
10;Thabo Sefolosha;2759628;OKC
11;Eric Maynor;1318920;OKC
12;Kevin Ollie;1306455;OKC
13;Serge Ibaka;1120200;OKC
14;Byron Mullens;1120200;OKC
15;D.J. White;1036440;OKC
16;Kyle Weaver;870968;OKC
17;Shaun Livingston;296695;OKC
18;Ryan Bowen;209592;OKC
19;Mike Wilks;175908;OKC
1;Rashard Lewis;18876000;ORL
2;Vince Carter;16300000;ORL
3;Dwight Howard;15202590;ORL
4;Jameer Nelson;6138888;ORL
5;Marcin Gortat;5854000;ORL
6;Mickael Pietrus;5300000;ORL
7;Brandon Bass;4000000;ORL
8;J.J. Redick;2839408;ORL
