"team";"team.vol";"roster.agreg.vol";"cc";"roster.agreg.coh";"size"
"ATL";5;241.166666666667;1;2.16666666666667;18
"BOS";-6;320.583333333333;0.923076923076923;1.38461538461538;22
"BRK";6;284.966666666667;0.913907284768212;1.77405531749124;17
"CHI";9;137.066666666667;1;2.94444444444444;17
"CHO";-5;265.5;0.853556485355649;1.5723408940762;19
"CLE";-5;313.071428571429;0.620689655172414;1.08620689655172;16
"DAL";-2;319.809523809524;0.683168316831683;1.00848656294201;22
"DEN";5;202.816666666667;0.940959409594096;1.83487084870849;20
"DET";9;280;0.768292682926829;1.17503586800574;17
"GSW";-9;156.75;0.92822966507177;1.99569377990431;20
"HOU";11;382.5;0.774647887323944;1.16197183098592;23
"IND";6;193.05;0.98019801980198;2.38923267326733;16
"LAC";2;307.72619047619;0.776223776223776;1.51363636363636;20
"LAL";-26;291.5;0.889830508474576;1.54549509366637;19
"MEM";-4;239.785714285714;0.83402489626556;1.83485477178423;19
"MIA";3;336.309523809524;0.925925925925926;2.12962962962963;18
"MIL";9;267.1;0.897637795275591;1.30565497494631;22
"MIN";10;98.95;1;1.63157894736842;19
"NOP";9;296.5;0.850393700787402;1.31811023622047;20
"NYK";-5;232.2;0.634615384615385;0.936813186813187;21
"OKC";-9;175.880952380952;1;2.70588235294118;17
"ORL";-7;173;0.99604743083004;1.7204455623428;21
"PHI";-4;375.833333333333;1;1.10714285714286;28
"PHO";8;359;0.888888888888889;1.44444444444444;23
"POR";1;123.714285714286;0.89816700610998;2.21900083862466;17
"SAC";18;352.085714285714;0.794117647058823;1.28571428571428;21
"SAS";9;117.659523809524;0.988235294117647;3.38080495356037;19
"TOR";17;251;0.854430379746835;1.75383077948035;18
"UTA";4;143;0.931034482758621;1.6191904047976;24
"WAS";-19;364.1;0.83203125;1.5392578125;19
