"team";"team.vol";"roster.agreg.vol";"cc";"roster.agreg.coh";"size"
"ATL";53;219;0.975;2.10394736842105;19
"BOS";60;163.404761904762;0.818181818181818;1.71818181818182;20
"BRK";46;357.15;0.994082840236686;1.82248520710059;17
"CHI";57;322.92619047619;0.858974358974359;2.0400641025641;15
"CHO";64;128.45;0.940298507462687;1.82182835820896;16
"CLE";51;352.761904761905;0.975806451612903;1.95161290322581;22
"DAL";62;308.892857142857;0.923076923076923;1.72027972027972;21
"DEN";64;115.083333333333;0.931034482758621;1.91683569979716;17
"DET";59;72.2523809523809;1;2.6;15
"GSW";69;87.5357142857143;0.909090909090909;1.75324675324675;14
"HOU";63;327.666666666667;0.72;0.93;24
"IND";54;184.185714285714;0.969230769230769;2.10950226244344;17
"LAC";54;327.066666666667;0.918367346938776;1.73469387755102;17
"LAL";65;163.904761904762;0.981818181818182;2.14772727272727;16
"MEM";67;148.483333333333;1;2.26666666666667;15
"MIA";56;251.57619047619;1;3;17
"MIL";54;269.166666666667;0.923076923076923;1.78846153846154;16
"MIN";61;271.666666666667;0.862579281183932;1.52911781664424;22
"NOP";49;388.833333333333;0.982456140350877;1.39612188365651;18
"NYK";59;257.333333333333;0.763837638376384;1.24123616236162;16
"OKC";74;175.407142857143;0.988235294117647;2.53235294117647;16
"ORL";66;108.857142857143;0.9375;1.59375;20
"PHI";60;263.516666666667;0.893129770992366;1.69224588188027;19
"PHO";62;257.933333333333;0.809210526315789;1.36288088642659;19
"POR";77;209.295238095238;1;2.27777777777778;18
"SAC";53;302.233333333333;0.949868073878628;1.89973614775726;15
"SAS";57;131.714285714286;1;3.17647058823529;17
"TOR";45;296.488095238095;1;1.88235294117647;17
"UTA";56;143.785714285714;0.972972972972973;2.36293436293436;14
"WAS";74;514.119047619048;0.904109589041096;1.54990215264188;21
