"Team";"salary_mean";"salary_sd";"per_mean";"per_median";"age_mean";"age_sd";"salary5_sum";"salary5_mean";"salary610_sum";"salary610_mean";"Time";"conf";"posicao"
"ATL";4.6043695;5.42914199152358;13.0538461538462;13.5;28.6923076923077;4.30860796129128;58.038573;11.6077146;10.386463;2.0772926;"Atlanta Hawks";"E";16
"BOS";5.61409742857143;6.3505801011366;14.07;16.15;28.6;4.7656176001764;62.852033;12.5704066;12.244046;2.4488092;"Boston Celtics";"E";4
"BRK";3.26406175;4.14275850688672;13.3933333333333;12.2;25.9333333333333;2.60402618668714;43.249805;8.649961;15.826983;3.1653966;"Brooklyn Nets";"E";24
"CHI";4.96526515384615;4.77823240876704;14.88;14.05;26.2;2.93636207273937;49.818708;9.9637416;12.515361;2.5030722;"Chicago Bulls";"E";16
"CHO";3.86013493333333;3.03194800796224;12.6833333333333;14.4;26.1666666666667;4.06388379695477;37.393234;7.4786468;13.64083;2.728166;"Charlotte Hornets";"E";30
"CLE";3.60419994444444;4.47616390013403;12.7;11.7;25.3333333333333;4.59295526815123;46.224829;9.2449658;14.059866;2.8119732;"Cleveland Cavaliers";"E";26
"DAL";5.95528408333333;5.83869256725116;12.9454545454545;11.7;29.0909090909091;5.30008576259942;57.294322;11.4588644;12.553018;2.5106036;"Dallas Mavericks";"W";16
"DEN";4.16169935714286;3.45034534223241;16.22;16.75;26;4.42216638714053;38.830428;7.7660856;14.977313;2.9954626;"Denver Nuggets";"W";16
"DET";4.72824033333333;3.83627009981728;14.2636363636364;15.1;27.5454545454545;4.61223668871484;46.432135;9.286427;18.32124;3.664248;"Detroit Pistons";"E";20
"GSW";4.0317884;3.83155087115448;13.4909090909091;12.8;25.8181818181818;2.67649703224875;42.45992;8.491984;15.318258;3.0636516;"Golden State Warriors";"W";26
"HOU";3.5638596875;3.21734132008646;13.5769230769231;14.1;24.3076923076923;2.81023769411698;37.989353;7.5978706;12.972613;2.5945226;"Houston Rockets";"W";18
"IND";3.6824345;3.52426496148732;13.7833333333333;14.45;26.25;4.80766433558296;35.311504;7.0623008;11.62223;2.324446;"Indiana Pacers";"E";8
"LAC";4.0833348125;4.60655841836829;12.3769230769231;12.4;27;3.82970843102535;48.670289;9.7340578;13.575615;2.715123;"Los Angeles Clippers";"W";8
"LAL";5.87937733333333;7.62516351900425;13.2846153846154;11.2;28.2307692307692;4.51209201579205;71.329283;14.2658566;13.658381;2.7316762;"Los Angeles Lakers";"W";8
"MEM";4.4142504375;5.28154103329992;14.5230769230769;15.7;25.2307692307692;3.51553329652478;55.398546;11.0797092;11.198374;2.2396748;"Memphis Grizzlies";"W";16
"MIA";4.94116386666667;5.86977694306431;12.5727272727273;11.1;28.5454545454545;4.08322510679086;57.136;11.4272;13.232181;2.6464362;"Miami Heat";"E";1
"MIL";4.01282586666667;3.3580229760534;13.9083333333333;14.45;25.9166666666667;3.47610893576904;39.4081;7.88162;15.78472;3.156944;"Milwaukee Bucks";"E";18
"MIN";3.7896226;1.55813681197195;14.3181818181818;13.3;24.8181818181818;3.73679493197531;25.656548;5.1313096;21.0924;4.21848;"Minnesota Timberwolves";"W";24
"NOP";4.0752810625;4.32354285206233;12.05;11.7;24.25;2.95803989154981;46.862452;9.3724904;14.635988;2.9271976;"New Orleans Pelicans";"W";30
"NYK";4.99039406666667;6.76170360591409;16.1222222222222;16.4;27.6666666666667;3.64005494464026;64.426437;12.8852874;6.965196;1.3930392;"New York Knicks";"E";16
"OKC";3.7188568125;3.62796507094989;13.5285714285714;11.25;24.8571428571429;3.67647705235372;36.817434;7.3634868;15.950555;3.190111;"Oklahoma City Thunder";"W";2
"ORL";5.4351765625;6.05113105795238;14.3454545454545;13.6;27;3;62.926927;12.5853854;19.886201;3.9772402;"Orlando Magic";"E";16
"PHI";4.762312;5.07670210510624;12.2090909090909;12.6;26.2727272727273;5.29322036365215;49.895738;9.9791476;13.790664;2.7581328;"Philadelphia 76ers";"E";8
"PHO";5.040036;4.56219515599847;13.7266666666667;13.6;28.2;4.58569203376889;49.279702;9.8559404;22.65;4.53;"Phoenix Suns";"W";20
"POR";4.9730335;4.94977371098709;13.1923076923077;14.7;26.3076923076923;4.25018853277152;56.691394;11.3382788;16.559325;3.311865;"Portland Trail Blazers";"W";22
"SAC";3.53463353846154;2.50770863363448;11.07;14;24;3.74165738677394;30.70164;6.140328;13.237797;2.6475594;"Sacramento Kings";"W";28
"SAS";4.33722129411765;6.02242501387624;14.9384615384615;13.5;27.8461538461538;4.70542512861757;59.599657;11.9199314;10.296817;2.0593634;"San Antonio Spurs";"W";4
"TOR";3.67086993333333;3.00519013939992;13.14;14.5;25.9333333333333;4.28396789815014;36.735992;7.3471984;12.06344;2.412688;"Toronto Raptors";"E";22
"UTA";4.38067392307692;3.87349272879326;14.3818181818182;14.4;25.6363636363636;4.61026522605213;39.999075;7.999815;13.64316;2.728632;"Utah Jazz";"W";16
"WAS";3.692423;5.16530396284004;12.55;13.2;25.25;4.02548698352702;41.164651;8.2329302;9.98772;1.997544;"Washington Wizards";"E";28
