"Team";"salary_mean";"salary_sd";"per_mean";"per_median";"age_mean";"age_sd";"salary5_sum";"salary5_mean";"salary610_sum";"salary610_mean";"Time";"conf";"posicao"
"ATL";4.7376734;5.23673032244045;15.575;15.4;27.25;4.15878041563324;53.246479;10.6492958;13.966733;2.7933466;"Atlanta Hawks";"E";8
"BOS";3.50919618181818;4.02011536491484;14.1142857142857;14.75;24.3571428571429;3.02825521882315;48.136886;9.6273772;16.742785;3.348557;"Boston Celtics";"E";16
"BRK";4.13974236842105;7.01882232772066;13.7866666666667;13.1;25.6;3.41843740409478;65.820373;13.1640746;7.29822;1.459644;"Brooklyn Nets";"E";28
"CHI";5.6923932;6.12783250783157;13.5384615384615;14.4;26.9230769230769;3.92558994423213;64.701823;12.9403646;15.960045;3.192009;"Chicago Bulls";"E";18
"CHO";4.8506165625;4.48284395400356;14.15;14.25;25.5;2.84875141340634;51.400487;10.2800974;21.069781;4.2139562;"Charlotte Hornets";"E";16
"CLE";7.064168;7.48139486373996;14.3153846153846;14.5;28.5384615384615;4.38967319617654;80.47787;16.095574;21.356579;4.2713158;"Cleveland Cavaliers";"E";1
"DAL";3.71932257894737;4.86509389921571;16.1769230769231;15.7;29.2307692307692;3.32048807039583;50.794834;10.1589668;15.001687;3.0003374;"Dallas Mavericks";"W";16
"DEN";3.72222421052632;3.98015371959986;12.35625;13.75;25.4375;3.63260696103134;45.849455;9.169891;15.999573;3.1999146;"Denver Nuggets";"W";22
"DET";3.64946619047619;4.26763981925263;12.7625;12.75;26.3125;4.25391976103609;48.17;9.634;17.005811;3.4011622;"Detroit Pistons";"E";16
"GSW";6.2165748;5.29101009005162;15.0642857142857;15.55;26.5714285714286;3.34466936883352;64.881242;12.9762484;22.163373;4.4326746;"Golden State Warriors";"W";2
"HOU";5.21702423529412;6.36196707704799;14.7285714285714;13.35;26.6428571428571;4.28965020731282;66.913327;13.3826654;16.257468;3.2514936;"Houston Rockets";"W";16
"IND";4.69473533333333;4.43736474109043;14.45;14.5;25.75;2.52712556798503;46.920106;9.3840212;18.451985;3.690397;"Indiana Pacers";"E";16
"LAC";5.31031744444444;7.20896651239279;14.78;14.6;28.4666666666667;4.40562411123825;75.943421;15.1886842;14.605644;2.9211288;"Los Angeles Clippers";"W";16
"LAL";4.0230625;6.43857247810337;12.86;15.85;26.3;4.66785699104941;57.822289;11.5644578;10.511277;2.1022554;"Los Angeles Lakers";"W";30
"MEM";4.13872895;4.85845583224041;14.8470588235294;13.1;28.2941176470588;5.1933215031706;53.426981;10.6853962;22.09913;4.419826;"Memphis Grizzlies";"W";16
"MIA";6.09996542857143;7.58987036264345;16.75;15.45;29.1666666666667;3.43334804351071;72.668067;14.5336134;10.362312;2.0724624;"Miami Heat";"E";8
"MIL";4.70126406666667;4.92019662757495;14.1230769230769;14.8;23.6153846153846;2.93082643459888;51.15244;10.230488;12.405515;2.481103;"Milwaukee Bucks";"E";24
"MIN";4.26225982352941;3.79333925231473;14.2071428571429;14.75;26.7857142857143;6.43522244464695;45.80868;9.161736;17.55888;3.511776;"Minnesota Timberwolves";"W";26
"NOP";4.66974755555556;4.76129435351003;14.4;12.7;25.8823529411765;2.52196235452615;56.836538;11.3673076;20.78968;4.157936;"New Orleans Pelicans";"W";24
"NYK";4.17133577777778;5.80091149646393;12.9636363636364;12.5;26.7272727272727;3.69028207840293;56.177812;11.2355624;13.98172;2.796344;"New York Knicks";"E";26
"OKC";6.30817733333333;6.61695725356614;15.7923076923077;14.1;26.5384615384615;4.9263811027194;70.79127;14.158254;17.64304;3.528608;"Oklahoma City Thunder";"W";4
"ORL";3.33419242105263;3.0968546389765;12.375;12.2;24.25;3.21455025366432;37.687017;7.5374034;17.099474;3.4198948;"Orlando Magic";"E";22
"PHI";2.76723465217391;3.08467346210602;11.89375;12.2;24.5625;4.51617463494641;37.815495;7.563099;14.306594;2.8613188;"Philadelphia 76ers";"E";30
"PHO";3.84213683333333;4.42767519488286;13.8466666666667;13.5;25.2666666666667;3.84460041889302;49.086957;9.8173914;14.57604;2.915208;"Phoenix Suns";"W";28
"POR";3.38892633333333;2.68202471332089;13.9666666666667;13.7;25.4666666666667;4.42180743049502;35.138554;7.0277108;15.916106;3.1832212;"Portland Trail Blazers";"W";8
"SAC";4.17159417647059;4.49533800356096;14.9833333333333;14.3;26;3.35748823865807;50.465278;10.0930556;16.067626;3.2135252;"Sacramento Kings";"W";20
"SAS";5.41567375;6.16138853876683;14.9785714285714;14.45;29.7142857142857;5.59434565402454;66.4375;13.2875;14.391321;2.8782642;"San Antonio Spurs";"W";8
"TOR";4.15490788235294;4.17091398628782;13.9833333333333;15.7;24.8333333333333;3.97339637940626;48.268675;9.653735;16.714399;3.3428798;"Toronto Raptors";"E";4
"UTA";3.2342233;4.17884157133831;14.1857142857143;13.4;23.5;2.34520787991171;45.109107;9.0218214;12.581373;2.5162746;"Utah Jazz";"W";18
"WAS";5.56289986666667;4.55833487400311;13.4769230769231;14;27.7692307692308;3.96135175064115;53.764015;10.752803;21.82646;4.365292;"Washington Wizards";"E";20
