Rk;Player;Salary;Team 
1;Mike Bibby;14983603;ATL
2;Joe Johnson;14232567;ATL
3;Josh Smith;10000000;ATL
4;Speedy Claxton;5757818;ATL
5;Marvin Williams;5636143;ATL
6;Al Horford;4026720;ATL
7;Zaza Pachulia;4000000;ATL
8;Maurice Evans;2500000;ATL
9;Acie Law;2071680;ATL
10;Ronald Murray;1500000;ATL
11;Solomon Jones;797581;ATL
12;Randolph Morris;797581;ATL
13;Thomas Gardner;711517;ATL
14;Mario West;711517;ATL
15;Othello Hunter;442114;ATL
1;Kevin Garnett;24751934;BOS
2;Ray Allen;18388430;BOS
3;Paul Pierce;18077903;BOS
4;Kendrick Perkins;4578880;BOS
5;Brian Scalabrine;3206897;BOS
6;Eddie House;2650000;BOS
7;Tony Allen;2500000;BOS
8;Rajon Rondo;1315080;BOS
9;J.R. Giddens;957120;BOS
10;Leon Powe;797581;BOS
11;Glen Davis;711517;BOS
12;Gabe Pruitt;711517;BOS
13;Bill Walker;542114;BOS
1;Vince Carter;14724125;BRK
2;Bobby Simmons;10602667;BRK
3;Devin Harris;7800000;BRK
4;Stromile Swift;6200000;BRK
5;Trenton Hassell;4350000;BRK
6;Keyon Dooling;3300000;BRK
7;Eduardo Najera;3250000;BRK
8;Yi Jianlian;2986080;BRK
9;Brook Lopez;2098560;BRK
10;Jarvis Hayes;1910000;BRK
11;Sean Williams;1522920;BRK
12;Ryan Anderson;1225200;BRK
13;Josh Boone;1212120;BRK
14;Maurice Ager;1042440;BRK
15;Chris Douglas-Roberts;442411;BRK
1;Emeka Okafor;9537500;CHO
2;Gerald Wallace;9500000;CHO
3;Boris Diaw;9000000;CHO
4;Nazr Mohammed;6049400;CHO
5;Vladimir Radmanovic;6049400;CHO
6;DeSagana Diop;5585000;CHO
7;Raja Bell;5000000;CHO
8;Raymond Felton;4148716;CHO
9;Sean May;2661027;CHO
10;D.J. Augustin;2208960;CHO
11;Alexis Ajinca;1276320;CHO
12;Juwan Howard;928143;CHO
13;Sean Singletary;442114;CHO
14;Cartier Martin;200252;CHO
15;Linton Johnson;125374;CHO
16;Andre Brown;107908;CHO
17;Dwayne Jones;46812;CHO
1;Brad Miller;11375000;CHI
2;Kirk Hinrich;10000000;CHI
3;Luol Deng;9385000;CHI
4;Ben Gordon;6404750;CHI
5;Jerome James;6200000;CHI
6;Tim Thomas;6049400;CHI
7;John Salmons;5104000;CHI
8;Derrick Rose;4822800;CHI
9;Tyrus Thomas;3749880;CHI
10;Joakim Noah;2295480;CHI
11;Lindsey Hunter;1143473;CHI
12;Anthony Roberson;797581;CHI
13;Aaron Gray;711517;CHI
14;Demetris Nichols;87893;CHI
1;Ben Wallace;14500000;CLE
2;LeBron James;14410581;CLE
3;Wally Szczerbiak;13775000;CLE
4;Zydrunas Ilgauskas;10841615;CLE
5;Mo Williams;8353000;CLE
6;Eric Snow;7312500;CLE
7;Anderson Varejao;5784480;CLE
8;Sasha Pavlovic;4500000;CLE
9;Delonte West;3850000;CLE
10;Daniel Gibson;3700000;CLE
11;J.J. Hickson;1329480;CLE
12;Lorenzen Wright;1262275;CLE
13;Tarence Kinsey;797581;CLE
14;Darnell Jackson;450000;CLE
15;Jawad Williams;244463;CLE
16;Trey Johnson;187258;CLE
1;Jason Kidd;21372000;DAL
2;Dirk Nowitzki;18077904;DAL
3;Erick Dampier;11553000;DAL
4;Josh Howard;9945000;DAL
5;Jason Terry;9196000;DAL
6;Jerry Stackhouse;7000000;DAL
7;Matt Carroll;5050000;DAL
8;Didier Ilunga-Mbenga;1971941;DAL
9;Antoine Wright;1800000;DAL
10;Devean George;1600000;DAL
11;Shawne Williams;1572960;DAL
12;Jose Barea;1500000;DAL
13;Ryan Hollins;972581;DAL
14;Keith McLeod;926678;DAL
15;Gerald Green;854957;DAL
16;Brandon Bass;826269;DAL
17;James Singleton;826269;DAL
1;Kenyon Martin;14431816;DEN
2;Carmelo Anthony;14410581;DEN
3;Chauncey Billups;11050000;DEN
4;Nene;9680000;DEN
5;J.R. Smith;4985001;DEN
6;Steven Hunter;3862600;DEN
7;Antonio McDyess;3000000;DEN
8;Johan Petro;1939893;DEN
9;Linas Kleiza;1824493;DEN
10;Renaldo Balkman;1369920;DEN
11;Anthony Carter;1147533;DEN
12;Chris Andersen;998398;DEN
13;Dahntay Jones;926678;DEN
14;Sonny Weems;442114;DEN
15;Juwan Howard;51976;DEN
1;Allen Iverson;20840625;DET
2;Rasheed Wallace;13930000;DET
3;Richard Hamilton;10812500;DET
4;Tayshaun Prince;9500000;DET
5;Kwame Brown;4000000;DET
6;Amir Johnson;3666667;DET
7;Walter Herrmann;2000000;DET
8;Jason Maxiell;1877572;DET
9;Rodney Stuckey;1687320;DET
10;Arron Afflalo;1015440;DET
11;Antonio McDyess;950419;DET
12;Will Bynum;711517;DET
13;Walter Sharpe;442114;DET
1;Monta Ellis;11000000;GSW
2;Andris Biedrins;9000000;GSW
3;Jamal Crawford;8640000;GSW
4;Corey Maggette;8275862;GSW
5;Stephen Jackson;7140000;GSW
6;Adonal Foyle;6800000;GSW
7;Ronny Turiaf;4500000;GSW
8;Kelenna Azubuike;2900000;GSW
9;Brandan Wright;2497320;GSW
10;Anthony Randolph;1709280;GSW
11;Marco Belinelli;1446720;GSW
12;Marcus Williams;1262520;GSW
13;C.J. Watson;711517;GSW
14;Anthony Morrow;442114;GSW
15;Rob Kurz;429111;GSW
16;Jermareo Davidson;422725;GSW
17;DeMarcus Nelson;182047;GSW
18;Richard Hendrix;57215;GSW
1;Tracy McGrady;20370437;HOU
2;Yao Ming;15070550;HOU
3;Metta World Peace;7400000;HOU
4;Shane Battier;6448900;HOU
5;Brian Cook;3500000;HOU
6;Luis Scola;3100667;HOU
7;Carl Landry;3000000;HOU
8;Jackie Butler;2552000;HOU
9;Luther Head;1962378;HOU
10;Brent Barry;1910000;HOU
11;Chuck Hayes;1768000;HOU
12;Justin Reed;1573000;HOU
13;Kyle Lowry;1163520;HOU
14;Aaron Brooks;1045560;HOU
15;Von Wafer;826269;HOU
16;Joey Dorsey;816500;HOU
17;Dikembe Mutombo;794491;HOU
1;Troy Murphy;10126984;IND
2;Mike Dunleavy;9000000;IND
3;Rasho Nesterovic;8400000;IND
4;T.J. Ford;8000000;IND
5;Marquis Daniels;6864200;IND
6;Jamaal Tinsley;6750000;IND
7;Jeff Foster;5500000;IND
8;Danny Granger;2329805;IND
9;Maceo Baston;2272860;IND
10;Jarrett Jack;2002623;IND
11;Eddie Jones;2000000;IND
12;Brandon Rush;1799160;IND
13;Travis Diener;1620000;IND
14;Roy Hibbert;1465400;IND
15;Stephen Graham;826269;IND
16;Josh McRoberts;711517;IND
1;Zach Randolph;14666667;LAC
2;Baron Davis;11250000;LAC
3;Marcus Camby;10000000;LAC
4;Chris Kaman;9500000;LAC
5;Eric Gordon;2623200;LAC
6;Jason Hart;2484000;LAC
7;Ricky Davis;2300000;LAC
8;Al Thornton;1776240;LAC
9;Jason Williams;1262275;LAC
10;Brian Skinner;1262275;LAC
11;Mardy Collins;1034760;LAC
12;Steve Novak;797581;LAC
