"nome.visitor";"nome.home";"Date";"score_y";"score_x";"data2";"home";"link";"visitor"
"Atlanta Hawks";"Washington Wizards";"Sat, Jan 12, 2013";83;93;201301120;"WAS";"http://www.basketball-reference.com/boxscores/201301120WAS.html";"ATL"
"Atlanta Hawks";"Brooklyn Nets";"Fri, Jan 18, 2013";89;94;201301180;"BRK";"http://www.basketball-reference.com/boxscores/201301180BRK.html";"ATL"
"Atlanta Hawks";"Miami Heat";"Mon, Dec 10, 2012";92;101;201212100;"MIA";"http://www.basketball-reference.com/boxscores/201212100MIA.html";"ATL"
"Atlanta Hawks";"Detroit Pistons";"Mon, Feb 25, 2013";114;103;201302250;"DET";"http://www.basketball-reference.com/boxscores/201302250DET.html";"ATL"
"Atlanta Hawks";"Indiana Pacers";"Mon, Mar 25, 2013";94;100;201303250;"IND";"http://www.basketball-reference.com/boxscores/201303250IND.html";"ATL"
"Atlanta Hawks";"Portland Trail Blazers";"Mon, Nov 12, 2012";95;87;201211120;"POR";"http://www.basketball-reference.com/boxscores/201211120POR.html";"ATL"
"Atlanta Hawks";"Indiana Pacers";"Wed, Apr 24, 2013";98;113;201304240;"IND";"http://www.basketball-reference.com/boxscores/201304240IND.html";"ATL"
"Atlanta Hawks";"Charlotte Bobcats";"Fri, Nov 23, 2012";101;91;201211230;"CHO";"http://www.basketball-reference.com/boxscores/201211230CHA.html";"ATL"
"Atlanta Hawks";"Miami Heat";"Tue, Mar 12, 2013";81;98;201303120;"MIA";"http://www.basketball-reference.com/boxscores/201303120MIA.html";"ATL"
"Atlanta Hawks";"Denver Nuggets";"Mon, Mar 4, 2013";88;104;201303040;"DEN";"http://www.basketball-reference.com/boxscores/201303040DEN.html";"ATL"
"Atlanta Hawks";"Indiana Pacers";"Tue, Feb 5, 2013";103;114;201302050;"IND";"http://www.basketball-reference.com/boxscores/201302050IND.html";"ATL"
"Atlanta Hawks";"Cleveland Cavaliers";"Wed, Jan 9, 2013";83;99;201301090;"CLE";"http://www.basketball-reference.com/boxscores/201301090CLE.html";"ATL"
"Atlanta Hawks";"Indiana Pacers";"Wed, May 1, 2013";83;106;201305010;"IND";"http://www.basketball-reference.com/boxscores/201305010IND.html";"ATL"
"Atlanta Hawks";"Phoenix Suns";"Fri, Mar 1, 2013";87;92;201303010;"PHO";"http://www.basketball-reference.com/boxscores/201303010PHO.html";"ATL"
"Atlanta Hawks";"Golden State Warriors";"Wed, Nov 14, 2012";88;92;201211140;"GSW";"http://www.basketball-reference.com/boxscores/201211140GSW.html";"ATL"
"Atlanta Hawks";"Philadelphia 76ers";"Wed, Apr 10, 2013";124;101;201304100;"PHI";"http://www.basketball-reference.com/boxscores/201304100PHI.html";"ATL"
"Atlanta Hawks";"Toronto Raptors";"Wed, Mar 27, 2013";107;88;201303270;"TOR";"http://www.basketball-reference.com/boxscores/201303270TOR.html";"ATL"
"Atlanta Hawks";"Orlando Magic";"Wed, Dec 12, 2012";86;80;201212120;"ORL";"http://www.basketball-reference.com/boxscores/201212120ORL.html";"ATL"
