"nome.visitor";"nome.home";"Date";"score_y";"score_x";"data2";"home";"link";"visitor"
"Atlanta Hawks";"Washington Wizards";"Sat, Nov 30, 2013";101;108;201311300;"WAS";"http://www.basketball-reference.com/boxscores/201311300WAS.html";"ATL"
"Atlanta Hawks";"Toronto Raptors";"Sun, Mar 23, 2014";86;96;201403230;"TOR";"http://www.basketball-reference.com/boxscores/201403230TOR.html";"ATL"
"Atlanta Hawks";"Miami Heat";"Mon, Dec 23, 2013";119;121;201312230;"MIA";"http://www.basketball-reference.com/boxscores/201312230MIA.html";"ATL"
"Atlanta Hawks";"Washington Wizards";"Sat, Mar 29, 2014";97;101;201403290;"WAS";"http://www.basketball-reference.com/boxscores/201403290WAS.html";"ATL"
"Atlanta Hawks";"Memphis Grizzlies";"Sun, Jan 12, 2014";101;108;201401120;"MEM";"http://www.basketball-reference.com/boxscores/201401120MEM.html";"ATL"
"Atlanta Hawks";"Oklahoma City Thunder";"Mon, Jan 27, 2014";109;111;201401270;"OKC";"http://www.basketball-reference.com/boxscores/201401270OKC.html";"ATL"
"Atlanta Hawks";"New York Knicks";"Sat, Nov 16, 2013";110;90;201311160;"NYK";"http://www.basketball-reference.com/boxscores/201311160NYK.html";"ATL"
"Atlanta Hawks";"Indiana Pacers";"Tue, Feb 18, 2014";98;108;201402180;"IND";"http://www.basketball-reference.com/boxscores/201402180IND.html";"ATL"
"Atlanta Hawks";"Golden State Warriors";"Fri, Mar 7, 2014";97;111;201403070;"GSW";"http://www.basketball-reference.com/boxscores/201403070GSW.html";"ATL"
"Atlanta Hawks";"Minnesota Timberwolves";"Wed, Mar 26, 2014";83;107;201403260;"MIN";"http://www.basketball-reference.com/boxscores/201403260MIN.html";"ATL"
"Atlanta Hawks";"Philadelphia 76ers";"Fri, Jan 31, 2014";125;99;201401310;"PHI";"http://www.basketball-reference.com/boxscores/201401310PHI.html";"ATL"
"Atlanta Hawks";"Indiana Pacers";"Tue, Apr 22, 2014";85;101;201404220;"IND";"http://www.basketball-reference.com/boxscores/201404220IND.html";"ATL"
"Atlanta Hawks";"Dallas Mavericks";"Wed, Oct 30, 2013";109;118;201310300;"DAL";"http://www.basketball-reference.com/boxscores/201310300DAL.html";"ATL"
"Atlanta Hawks";"Phoenix Suns";"Sun, Mar 2, 2014";120;129;201403020;"PHO";"http://www.basketball-reference.com/boxscores/201403020PHO.html";"ATL"
"Atlanta Hawks";"Boston Celtics";"Tue, Dec 31, 2013";92;91;201312310;"BOS";"http://www.basketball-reference.com/boxscores/201312310BOS.html";"ATL"
"Atlanta Hawks";"San Antonio Spurs";"Mon, Dec 2, 2013";100;102;201312020;"SAS";"http://www.basketball-reference.com/boxscores/201312020SAS.html";"ATL"
"Atlanta Hawks";"Charlotte Bobcats";"Mon, Nov 11, 2013";103;94;201311110;"CHO";"http://www.basketball-reference.com/boxscores/201311110CHA.html";"ATL"
"Atlanta Hawks";"Miami Heat";"Tue, Nov 19, 2013";88;104;201311190;"MIA";"http://www.basketball-reference.com/boxscores/201311190MIA.html";"ATL"
"Atlanta Hawks";"Indiana Pacers";"Sat, Apr 19, 2014";101;93;201404190;"IND";"http://www.basketball-reference.com/boxscores/201404190IND.html";"ATL"
"Atlanta Hawks";"Chicago Bulls";"Tue, Feb 11, 2014";85;100;201402110;"CHI";"http://www.basketball-reference.com/boxscores/201402110CHI.html";"ATL"
"Atlanta Hawks";"Brooklyn Nets";"Fri, Apr 11, 2014";93;88;201404110;"BRK";"http://www.basketball-reference.com/boxscores/201404110BRK.html";"ATL"
"Atlanta Hawks";"New Orleans Pelicans";"Wed, Feb 5, 2014";100;105;201402050;"NOP";"http://www.basketball-reference.com/boxscores/201402050NOP.html";"ATL"
"Atlanta Hawks";"Orlando Magic";"Wed, Jan 22, 2014";112;109;201401220;"ORL";"http://www.basketball-reference.com/boxscores/201401220ORL.html";"ATL"
"Atlanta Hawks";"Milwaukee Bucks";"Wed, Apr 16, 2014";111;103;201404160;"MIL";"http://www.basketball-reference.com/boxscores/201404160MIL.html";"ATL"
"Atlanta Hawks";"Indiana Pacers";"Mon, Apr 28, 2014";107;97;201404280;"IND";"http://www.basketball-reference.com/boxscores/201404280IND.html";"ATL"
"Atlanta Hawks";"Milwaukee Bucks";"Sat, Jan 25, 2014";112;87;201401250;"MIL";"http://www.basketball-reference.com/boxscores/201401250MIL.html";"ATL"
"Atlanta Hawks";"Orlando Magic";"Sun, Dec 29, 2013";102;109;201312290;"ORL";"http://www.basketball-reference.com/boxscores/201312290ORL.html";"ATL"
"Atlanta Hawks";"Indiana Pacers";"Sat, May 3, 2014";80;92;201405030;"IND";"http://www.basketball-reference.com/boxscores/201405030IND.html";"ATL"
"Atlanta Hawks";"Houston Rockets";"Wed, Nov 27, 2013";84;113;201311270;"HOU";"http://www.basketball-reference.com/boxscores/201311270HOU.html";"ATL"
"Atlanta Hawks";"Cleveland Cavaliers";"Thu, Dec 26, 2013";127;125;201312260;"CLE";"http://www.basketball-reference.com/boxscores/201312260CLE.html";"ATL"
"Atlanta Hawks";"Utah Jazz";"Mon, Mar 10, 2014";112;110;201403100;"UTA";"http://www.basketball-reference.com/boxscores/201403100UTA.html";"ATL"
"Atlanta Hawks";"New York Knicks";"Sat, Dec 14, 2013";106;111;201312140;"NYK";"http://www.basketball-reference.com/boxscores/201312140NYK.html";"ATL"
"Atlanta Hawks";"Portland Trail Blazers";"Wed, Mar 5, 2014";78;102;201403050;"POR";"http://www.basketball-reference.com/boxscores/201403050POR.html";"ATL"
"Atlanta Hawks";"Sacramento Kings";"Tue, Nov 5, 2013";105;100;201311050;"SAC";"http://www.basketball-reference.com/boxscores/201311050SAC.html";"ATL"
"Atlanta Hawks";"Charlotte Bobcats";"Mon, Mar 17, 2014";97;83;201403170;"CHO";"http://www.basketball-reference.com/boxscores/201403170CHA.html";"ATL"
"Atlanta Hawks";"Boston Celtics";"Wed, Feb 26, 2014";104;115;201402260;"BOS";"http://www.basketball-reference.com/boxscores/201402260BOS.html";"ATL"
"Atlanta Hawks";"Chicago Bulls";"Sat, Jan 4, 2014";84;91;201401040;"CHI";"http://www.basketball-reference.com/boxscores/201401040CHI.html";"ATL"
"Atlanta Hawks";"Denver Nuggets";"Thu, Nov 7, 2013";107;109;201311070;"DEN";"http://www.basketball-reference.com/boxscores/201311070DEN.html";"ATL"
"Atlanta Hawks";"Toronto Raptors";"Wed, Feb 12, 2014";83;104;201402120;"TOR";"http://www.basketball-reference.com/boxscores/201402120TOR.html";"ATL"
"Atlanta Hawks";"Brooklyn Nets";"Mon, Jan 6, 2014";86;91;201401060;"BRK";"http://www.basketball-reference.com/boxscores/201401060BRK.html";"ATL"
"Atlanta Hawks";"Los Angeles Clippers";"Sat, Mar 8, 2014";108;109;201403080;"LAC";"http://www.basketball-reference.com/boxscores/201403080LAC.html";"ATL"
"Atlanta Hawks";"Detroit Pistons";"Fri, Feb 21, 2014";107;115;201402210;"DET";"http://www.basketball-reference.com/boxscores/201402210DET.html";"ATL"
"Atlanta Hawks";"Indiana Pacers";"Sun, Apr 6, 2014";107;88;201404060;"IND";"http://www.basketball-reference.com/boxscores/201404060IND.html";"ATL"
"Atlanta Hawks";"Los Angeles Lakers";"Sun, Nov 3, 2013";103;105;201311030;"LAL";"http://www.basketball-reference.com/boxscores/201311030LAL.html";"ATL"
"Atlanta Hawks";"Detroit Pistons";"Fri, Nov 22, 2013";96;89;201311220;"DET";"http://www.basketball-reference.com/boxscores/201311220DET.html";"ATL"
"Boston Celtics";"Minnesota Timberwolves";"Sat, Nov 16, 2013";88;106;201311160;"MIN";"http://www.basketball-reference.com/boxscores/201311160MIN.html";"BOS"
"Boston Celtics";"Washington Wizards";"Wed, Jan 22, 2014";113;111;201401220;"WAS";"http://www.basketball-reference.com/boxscores/201401220WAS.html";"BOS"
"Boston Celtics";"Chicago Bulls";"Mon, Mar 31, 2014";80;94;201403310;"CHI";"http://www.basketball-reference.com/boxscores/201403310CHI.html";"BOS"
"Boston Celtics";"Detroit Pistons";"Sun, Nov 3, 2013";77;87;201311030;"DET";"http://www.basketball-reference.com/boxscores/201311030DET.html";"BOS"
"Boston Celtics";"Orlando Magic";"Sun, Jan 19, 2014";91;93;201401190;"ORL";"http://www.basketball-reference.com/boxscores/201401190ORL.html";"BOS"
"Boston Celtics";"New Orleans Pelicans";"Sun, Mar 16, 2014";120;121;201403160;"NOP";"http://www.basketball-reference.com/boxscores/201403160NOP.html";"BOS"
"Boston Celtics";"Utah Jazz";"Mon, Feb 24, 2014";98;110;201402240;"UTA";"http://www.basketball-reference.com/boxscores/201402240UTA.html";"BOS"
"Boston Celtics";"Charlotte Bobcats";"Mon, Nov 25, 2013";96;86;201311250;"CHO";"http://www.basketball-reference.com/boxscores/201311250CHA.html";"BOS"
"Boston Celtics";"Toronto Raptors";"Fri, Mar 28, 2014";103;105;201403280;"TOR";"http://www.basketball-reference.com/boxscores/201403280TOR.html";"BOS"
"Boston Celtics";"Oklahoma City Thunder";"Sun, Jan 5, 2014";96;119;201401050;"OKC";"http://www.basketball-reference.com/boxscores/201401050OKC.html";"BOS"
"Boston Celtics";"Milwaukee Bucks";"Mon, Feb 10, 2014";102;86;201402100;"MIL";"http://www.basketball-reference.com/boxscores/201402100MIL.html";"BOS"
"Boston Celtics";"Golden State Warriors";"Fri, Jan 10, 2014";97;99;201401100;"GSW";"http://www.basketball-reference.com/boxscores/201401100GSW.html";"BOS"
"Boston Celtics";"Miami Heat";"Tue, Jan 21, 2014";86;93;201401210;"MIA";"http://www.basketball-reference.com/boxscores/201401210MIA.html";"BOS"
"Boston Celtics";"Atlanta Hawks";"Sat, Nov 23, 2013";94;87;201311230;"ATL";"http://www.basketball-reference.com/boxscores/201311230ATL.html";"BOS"
"Boston Celtics";"Orlando Magic";"Fri, Nov 8, 2013";91;89;201311080;"ORL";"http://www.basketball-reference.com/boxscores/201311080ORL.html";"BOS"
"Boston Celtics";"Houston Rockets";"Tue, Nov 19, 2013";85;109;201311190;"HOU";"http://www.basketball-reference.com/boxscores/201311190HOU.html";"BOS"
"Boston Celtics";"Brooklyn Nets";"Tue, Dec 10, 2013";96;104;201312100;"BRK";"http://www.basketball-reference.com/boxscores/201312100BRK.html";"BOS"
"Boston Celtics";"Indiana Pacers";"Tue, Mar 11, 2014";83;94;201403110;"IND";"http://www.basketball-reference.com/boxscores/201403110IND.html";"BOS"
"Boston Celtics";"Cleveland Cavaliers";"Sat, Apr 12, 2014";111;99;201404120;"CLE";"http://www.basketball-reference.com/boxscores/201404120CLE.html";"BOS"
"Boston Celtics";"Washington Wizards";"Wed, Apr 2, 2014";92;118;201404020;"WAS";"http://www.basketball-reference.com/boxscores/201404020WAS.html";"BOS"
"Boston Celtics";"Toronto Raptors";"Wed, Oct 30, 2013";87;93;201310300;"TOR";"http://www.basketball-reference.com/boxscores/201310300TOR.html";"BOS"
"Boston Celtics";"Detroit Pistons";"Sat, Apr 5, 2014";111;115;201404050;"DET";"http://www.basketball-reference.com/boxscores/201404050DET.html";"BOS"
"Boston Celtics";"Philadelphia 76ers";"Mon, Apr 14, 2014";108;113;201404140;"PHI";"http://www.basketball-reference.com/boxscores/201404140PHI.html";"BOS"
"Boston Celtics";"New York Knicks";"Sun, Dec 8, 2013";114;73;201312080;"NYK";"http://www.basketball-reference.com/boxscores/201312080NYK.html";"BOS"
"Boston Celtics";"San Antonio Spurs";"Wed, Nov 20, 2013";93;104;201311200;"SAS";"http://www.basketball-reference.com/boxscores/201311200SAS.html";"BOS"
"Boston Celtics";"Miami Heat";"Sat, Nov 9, 2013";111;110;201311090;"MIA";"http://www.basketball-reference.com/boxscores/201311090MIA.html";"BOS"
"Boston Celtics";"Indiana Pacers";"Sun, Dec 22, 2013";79;106;201312220;"IND";"http://www.basketball-reference.com/boxscores/201312220IND.html";"BOS"
"Boston Celtics";"Brooklyn Nets";"Fri, Mar 21, 2014";98;114;201403210;"BRK";"http://www.basketball-reference.com/boxscores/201403210BRK.html";"BOS"
"Boston Celtics";"Phoenix Suns";"Wed, Feb 19, 2014";94;100;201402190;"PHO";"http://www.basketball-reference.com/boxscores/201402190PHO.html";"BOS"
"Boston Celtics";"Los Angeles Clippers";"Wed, Jan 8, 2014";105;111;201401080;"LAC";"http://www.basketball-reference.com/boxscores/201401080LAC.html";"BOS"
"Boston Celtics";"Dallas Mavericks";"Mon, Mar 17, 2014";89;94;201403170;"DAL";"http://www.basketball-reference.com/boxscores/201403170DAL.html";"BOS"
"Boston Celtics";"Los Angeles Lakers";"Fri, Feb 21, 2014";92;101;201402210;"LAL";"http://www.basketball-reference.com/boxscores/201402210LAL.html";"BOS"
"Boston Celtics";"Sacramento Kings";"Sat, Feb 22, 2014";98;105;201402220;"SAC";"http://www.basketball-reference.com/boxscores/201402220SAC.html";"BOS"
"Boston Celtics";"Memphis Grizzlies";"Mon, Nov 4, 2013";88;95;201311040;"MEM";"http://www.basketball-reference.com/boxscores/201311040MEM.html";"BOS"
"Boston Celtics";"Chicago Bulls";"Thu, Jan 2, 2014";82;94;201401020;"CHI";"http://www.basketball-reference.com/boxscores/201401020CHI.html";"BOS"
"Boston Celtics";"New York Knicks";"Tue, Jan 28, 2014";88;114;201401280;"NYK";"http://www.basketball-reference.com/boxscores/201401280NYK.html";"BOS"
"Boston Celtics";"Philadelphia 76ers";"Wed, Feb 5, 2014";114;108;201402050;"PHI";"http://www.basketball-reference.com/boxscores/201402050PHI.html";"BOS"
"Boston Celtics";"Milwaukee Bucks";"Sat, Nov 30, 2013";85;92;201311300;"MIL";"http://www.basketball-reference.com/boxscores/201311300MIL.html";"BOS"
"Boston Celtics";"Portland Trail Blazers";"Sat, Jan 11, 2014";104;112;201401110;"POR";"http://www.basketball-reference.com/boxscores/201401110POR.html";"BOS"
"Boston Celtics";"Atlanta Hawks";"Wed, Apr 9, 2014";97;105;201404090;"ATL";"http://www.basketball-reference.com/boxscores/201404090ATL.html";"BOS"
"Boston Celtics";"Denver Nuggets";"Tue, Jan 7, 2014";98;129;201401070;"DEN";"http://www.basketball-reference.com/boxscores/201401070DEN.html";"BOS"
"Brooklyn Nets";"Golden State Warriors";"Sat, Feb 22, 2014";86;93;201402220;"GSW";"http://www.basketball-reference.com/boxscores/201402220GSW.html";"BRK"
"Brooklyn Nets";"Portland Trail Blazers";"Wed, Feb 26, 2014";80;124;201402260;"POR";"http://www.basketball-reference.com/boxscores/201402260POR.html";"BRK"
"Brooklyn Nets";"Boston Celtics";"Sun, Jan 26, 2014";85;79;201401260;"BOS";"http://www.basketball-reference.com/boxscores/201401260BOS.html";"BRK"
"Brooklyn Nets";"Oklahoma City Thunder";"Thu, Jan 2, 2014";95;93;201401020;"OKC";"http://www.basketball-reference.com/boxscores/201401020OKC.html";"BRK"
"Brooklyn Nets";"Miami Heat";"Wed, May 14, 2014";94;96;201405140;"MIA";"http://www.basketball-reference.com/boxscores/201405140MIA.html";"BRK"
"Brooklyn Nets";"Philadelphia 76ers";"Fri, Dec 20, 2013";120;121;201312200;"PHI";"http://www.basketball-reference.com/boxscores/201312200PHI.html";"BRK"
"Brooklyn Nets";"New Orleans Pelicans";"Mon, Mar 24, 2014";104;109;201403240;"NOP";"http://www.basketball-reference.com/boxscores/201403240NOP.html";"BRK"
"Brooklyn Nets";"Miami Heat";"Tue, May 6, 2014";86;107;201405060;"MIA";"http://www.basketball-reference.com/boxscores/201405060MIA.html";"BRK"
