Time;Sigla;conf;Posicao2007;Posicao2008;Posicao2009;Posicao2010;Posicao2011;Posicao2012;Posicao2013;Posicao2014;Posicao2015;Posicao2016
Atlanta Hawks;ATL;E;26;16;8;8;8;16;16;16;4;8
Boston Celtics;BOS;E;30;1;8;2;8;4;16;24;16;16
Brooklyn Nets;BRK;E;8;20;22;30;24;24;16;8;16;28
Charlotte Hornets;CHO;E;24;24;20;16;20;30;28;16;22;16
Chicago Bulls;CHI;E;8;22;16;16;4;16;8;16;8;18
Cleveland Cavaliers;CLE;E;2;8;4;8;30;26;26;20;2;1
Dallas Mavericks;DAL;W;16;16;8;16;1;16;20;16;16;16
Denver Nuggets;DEN;W;16;16;4;16;16;16;16;22;24;22
Detroit Pistons;DET;E;4;4;16;24;22;20;22;22;24;16
Golden State Warriors;GSW;W;8;18;20;26;24;26;8;16;1;2
Houston Rockets;HOU;W;16;16;8;18;18;18;16;16;4;16
Indiana Pacers;IND;E;20;18;18;20;16;8;4;4;18;16
Los Angeles Clippers;LAC;W;18;24;28;24;26;8;16;8;8;16
Los Angeles Lakers;LAL;W;16;2;1;1;8;8;16;28;28;30
Memphis Grizzlies;MEM;W;30;28;24;20;8;16;4;16;8;16
Miami Heat;MIA;E;16;30;16;16;2;1;1;2;20;8
Milwaukee Bucks;MIL;E;28;26;24;16;18;18;16;30;16;24
Minnesota Timberwolves;MIN;W;26;26;22;30;30;24;24;20;30;26
New Orleans Pelicans;NOP;W;20;8;16;22;16;30;28;24;16;24
New York Knicks;NYK;E;22;28;28;22;16;16;8;18;30;26
Oklahoma City Thunder;OKC;W;28;30;26;16;4;2;8;4;18;4
Orlando Magic;ORL;E;16;8;2;4;16;16;30;26;26;22
Philadelphia 76ers;PHI;E;18;16;16;26;16;8;18;28;28;30
Phoenix Suns;PHO;W;8;16;18;4;20;20;30;18;20;28
Portland Trail Blazers;POR;W;24;20;16;16;16;22;22;8;16;8
Sacramento Kings;SAC;W;22;22;30;28;28;28;26;26;26;20
San Antonio Spurs;SAS;W;1;4;16;8;16;4;2;1;16;8
Toronto Raptors;TOR;E;16;16;26;18;28;22;20;16;16;4
Utah Jazz;UTA;W;4;8;16;8;22;16;18;30;22;18
Washington Wizards;WAS;E;16;16;30;28;26;28;24;8;8;20
