Rk;Player;Salary;Team
1;Al Horford;12000000;ATL
2;Paul Millsap;9500000;ATL
3;Jeff Teague;8000000;ATL
4;Kyle Korver;6253521;ATL
5;Thabo Sefolosha;4150000;ATL
6;Mike Scott;3333333;ATL
7;DeMarre Carroll;2442455;ATL
8;Shelvin Mack;2433333;ATL
9;Kent Bazemore;2000000;ATL
10;Elton Brand;2000000;ATL
11;Dennis Schroder;1690680;ATL
12;John Jenkins;1312920;ATL
13;Pero Antic;1250000;ATL
14;John Salmons;1000000;ATL
15;Mike Muscala;816482;ATL
16;Austin Daye;125104;ATL
17;Jarell Eddie;29843;ATL
1;Gerald Wallace;10105855;BOS
2;Isaiah Thomas;7238606;BOS
3;Avery Bradley;7191011;BOS
4;Brandon Bass;6900000;BOS
5;Jonas Jerebko;4500000;BOS
6;Marcus Smart;3283320;BOS
7;Evan Turner;3278000;BOS
8;Will Bynum;2915908;BOS
9;Nate Robinson;2106720;BOS
10;Vitor Faverani;2090000;BOS
11;Kelly Olynyk;2075760;BOS
12;Luigi Datome;1750000;BOS
13;Tyler Zeller;1703760;BOS
14;James Young;1674480;BOS
15;Jared Sullinger;1424520;BOS
16;Jae Crowder;915243;BOS
17;Chris Douglas-Roberts;915243;BOS
18;Phil Pressey;816482;BOS
19;Erik Murphy;100000;BOS
20;Andre Dawkins;59686;BOS
21;Chris Babb;48028;BOS
1;Joe Johnson;23180790;BRK
2;Deron Williams;19754465;BRK
3;Brook Lopez;15719063;BRK
4;Thaddeus Young;9410870;BRK
5;Jarrett Jack;6300000;BRK
6;Travis Outlaw;4000000;BRK
7;Mirza Teletovic;3368100;BRK
8;Bojan Bogdanovic;3278000;BRK
9;Sergey Karasev;1533840;BRK
10;Mason Plumlee;1357080;BRK
11;Alan Anderson;1276061;BRK
12;Jerome Jordan;915243;BRK
13;Darius Morris;702756;BRK
14;Markel Brown;507336;BRK
15;Cory Jefferson;507336;BRK
16;Earl Clark;62552;BRK
1;Al Jefferson;13666667;CHO
2;Tyrus Thomas;9388000;CHO
3;Lance Stephenson;9000000;CHO
4;Marvin Williams;7000000;CHO
5;Gerald Henderson;6000000;CHO
6;Michael Kidd-Gilchrist;5016960;CHO
7;Cody Zeller;4030560;CHO
8;Bismack Biyombo;3873398;CHO
9;Mo Williams;3750000;CHO
10;Kemba Walker;3272091;CHO
11;Brian Roberts;2732000;CHO
12;Noah Vonleh;2524200;CHO
13;Jannero Pargo;1448490;CHO
14;Jason Maxiell;1316809;CHO
15;P.J. Hairston;1149720;CHO
16;Jeffery Taylor;915243;CHO
17;Troy Daniels;816482;CHO
18;Elliot Williams;53838;CHO
1;Derrick Rose;18862875;CHI
2;Carlos Boozer;13550000;CHI
3;Joakim Noah;12200000;CHI
4;Taj Gibson;8000000;CHI
5;Pau Gasol;7128000;CHI
6;Nikola Mirotic;5305000;CHI
7;Mike Dunleavy;3326235;CHI
8;Kirk Hinrich;2730000;CHI
9;Doug McDermott;2277960;CHI
10;Jimmy Butler;2008748;CHI
11;Tony Snell;1472400;CHI
12;Nazr Mohammed;1448490;CHI
13;Aaron Brooks;1145685;CHI
14;ETwaun Moore;948163;CHI
15;Cameron Bairstow;507336;CHI
16;Richard Hamilton;333333;CHI
1;LeBron James;20644400;CLE
2;Kevin Love;15719062;CLE
3;Anderson Varejao;9704595;CLE
4;Kyrie Irving;7070730;CLE
5;J.R. Smith;6516000;CLE
6;Tristan Thompson;5138430;CLE
7;Timofey Mozgov;4650000;CLE
8;Mike Miller;2732000;CLE
9;Iman Shumpert;2616975;CLE
10;Brendan Haywood;2213688;CLE
11;James Jones;1448490;CLE
12;Shawn Marion;1448490;CLE
13;Joe Harris;884879;CLE
14;Matthew Dellavedova;816482;CLE
15;Kendrick Perkins;434547;CLE
1;Chandler Parsons;14700000;DAL
2;Tyson Chandler;14598888;DAL
3;Rajon Rondo;12909091;DAL
4;Monta Ellis;8360000;DAL
5;Dirk Nowitzki;7974482;DAL
6;Brendan Haywood;7798000;DAL
7;Devin Harris;3878000;DAL
