Rk;Player;Salary;team
4;Jared Jeffries;6883800;HOU
5;Kyle Lowry;5750000;HOU
6;Hasheem Thabeet;4793280;HOU
7;Brad Miller;4400000;HOU
8;Jordan Hill;2669520;HOU
9;Terrence Williams;2214480;HOU
10;Chuck Hayes;1972500;HOU
11;Goran Dragic;1972000;HOU
12;Patrick Patterson;1823280;HOU
13;Courtney Lee;1409040;HOU
14;DeMarre Carroll;1085400;HOU
15;Chase Budinger;780871;HOU
1;Danny Granger;10973202;IND
2;Mike Dunleavy;10561984;IND
3;T.J. Ford;8500000;IND
4;James Posey;7148800;IND
5;Jeff Foster;6655000;IND
6;Jamaal Tinsley;5500000;IND
7;Dahntay Jones;2500000;IND
8;Paul George;2238360;IND
9;Brandon Rush;2069049;IND
10;Tyler Hansbrough;1998600;IND
11;Roy Hibbert;1685280;IND
12;Solomon Jones;1500000;IND
13;Darren Collison;1361040;IND
14;Josh McRoberts;885120;IND
15;A.J. Price;762195;IND
16;Lance Stephenson;750000;IND
1;Chris Kaman;11800000;LAC
2;Mo Williams;9300000;LAC
3;Blake Griffin;5357280;LAC
4;Randy Foye;4250000;LAC
5;Ryan Gomes;4000000;LAC
6;Eric Gordon;3016680;LAC
7;Jamario Moon;3000000;LAC
8;Al-Farouq Aminu;2563320;LAC
9;Rasual Butler;2400000;LAC
10;Craig Smith;2300000;LAC
11;Eric Bledsoe;1485000;LAC
12;Brian Cook;1146337;LAC
13;DeAndre Jordan;854389;LAC
14;Jarron Collins;643551;LAC
15;Ike Diogu;608772;LAC
16;Willie Warren;500000;LAC
1;Kobe Bryant;24806250;LAL
2;Pau Gasol;17823000;LAL
3;Andrew Bynum;13700000;LAL
4;Lamar Odom;8200000;LAL
5;Metta World Peace;6322320;LAL
6;Luke Walton;5260000;LAL
7;Steve Blake;4000000;LAL
8;Derek Fisher;3700000;LAL
9;Shannon Brown;2200000;LAL
10;Matt Barnes;1765000;LAL
11;Theo Ratliff;1352181;LAL
12;Joe Smith;1352181;LAL
13;Derrick Caracter;473604;LAL
14;Devin Ebanks;473604;LAL
1;Zach Randolph;17666666;MEM
2;Rudy Gay;13603750;MEM
3;Marko Jaric;7625000;MEM
4;Shane Battier;7354500;MEM
5;Mike Conley;4913007;MEM
6;O.J. Mayo;4456200;MEM
7;Marc Gasol;3480000;MEM
8;Tony Allen;3000000;MEM
9;Xavier Henry;2020200;MEM
10;Hamed Haddadi;1600000;MEM
11;Darrell Arthur;1123680;MEM
12;Greivis Vasquez;1035960;MEM
13;Sam Young;886000;MEM
14;Jason Williams;524964;MEM
15;Ishmael Smith;473604;MEM
16;Rodney Carney;274756;MEM
17;Acie Law;203057;MEM
1;Chris Bosh;14500000;MIA
2;LeBron James;14500000;MIA
3;Dwyane Wade;14200000;MIA
4;Mike Miller;5000000;MIA
5;Udonis Haslem;3500000;MIA
6;Joel Anthony;3300000;MIA
7;Eddie House;1352181;MIA
8;Juwan Howard;1352181;MIA
9;Zydrunas Ilgauskas;1352181;MIA
10;Jamaal Magloire;1229255;MIA
11;Carlos Arroyo;1223166;MIA
12;Erick Dampier;1129469;MIA
13;James Jones;1069509;MIA
14;Mario Chalmers;854389;MIA
15;Patrick Beverly;473604;MIA
16;DaSean Butler;473604;MIA
17;Dexter Pittman;473604;MIA
18;Jerry Stackhouse;222712;MIA
1;Michael Redd;18300000;MIL
2;Andrew Bogut;11000000;MIL
3;Corey Maggette;9600000;MIL
4;John Salmons;8000000;MIL
5;Drew Gooden;5760000;MIL
6;Carlos Delfino;3500000;MIL
7;Brandon Jennings;2331120;MIL
8;Ersan Ilyasova;2320500;MIL
9;Keyon Dooling;2000000;MIL
10;Larry Sanders;1731960;MIL
11;Earl Boykins;1352181;MIL
12;Jon Brockman;1000000;MIL
13;Chris Douglas-Roberts;854389;MIL
14;Luc Mbah a Moute;854389;MIL
15;Brian Skinner;270436;MIL
16;Darington Hobson;103078;MIL
17;Garrett Temple;98637;MIL
1;Eddy Curry;11530592;MIN
2;Michael Beasley;4962240;MIN
3;Martell Webster;4800000;MIN
4;Darko Milicic;4325000;MIN
5;Nikola Pekovic;4000000;MIN
6;Luke Ridnour;4000000;MIN
7;Wesley Johnson;3726600;MIN
8;Kevin Love;3638280;MIN
9;Jonny Flynn;3192000;MIN
10;Sebastian Telfair;2700000;MIN
11;Anthony Tolliver;2200000;MIN
12;Anthony Randolph;1965720;MIN
13;Wayne Ellington;1078800;MIN
14;Lazar Hayward;1020960;MIN
15;Sundiata Gaines;237626;MIN
16;Maurice Ager;83305;MIN
1;Chris Paul;14940153;NOP
2;Emeka Okafor;11495000;NOP
3;David West;8287500;NOP
4;Trevor Ariza;6322320;NOP
5;Marcus Banks;4847586;NOP
6;Jarrett Jack;4600000;NOP
7;Willie Green;3976000;NOP
8;Carl Landry;3000000;NOP
9;David Andersen;2500000;NOP
10;Marco Belinelli;2380270;NOP
11;Jason Smith;2187913;NOP
12;Quincy Pondexter;1073280;NOP
13;Didier Ilunga-Mbenga;1069509;NOP
14;Aaron Gray;1028840;NOP
15;Pops Mensah-Bonsu;364461;NOP
16;Joe Alexander;90465;NOP
17;Sasha Pavlovic;67432;NOP
1;Carmelo Anthony;17149243;NYK
2;Amare Stoudemire;16486611;NYK
3;Chauncey Billups;13150000;NYK
4;Ronny Turiaf;4000000;NYK
5;Corey Brewer;3703472;NYK
6;Kelenna Azubuike;3300000;NYK
7;Renaldo Balkman;1675000;NYK
8;Roger Mason;1400000;NYK
9;Anthony Carter;1352181;NYK
10;Toney Douglas;1071000;NYK
11;Shelden Williams;915852;NYK
12;Shawne Williams;885210;NYK
13;Bill Walker;854389;NYK
14;Andy Rautins;600000;NYK
15;Landry Fields;473604;NYK
1;Nick Collison;13250000;OKC
2;Nazr Mohammed;6883800;OKC
3;Kevin Durant;6053663;OKC
4;Kendrick Perkins;4640208;OKC
5;James Harden;4304520;OKC
6;Nate Robinson;4200000;OKC
7;Russell Westbrook;4017720;OKC
8;Thabo Sefolosha;3250000;OKC
9;Daequan Cook;2169857;OKC
10;Cole Aldrich;2126520;OKC
11;Eric Maynor;1417800;OKC
12;Serge Ibaka;1204200;OKC
13;Byron Mullens;1204200;OKC
14;Royal Ivey;1200000;OKC
1;Gilbert Arenas;17730694;ORL
2;Dwight Howard;16647180;ORL
3;Jason Richardson;14444444;ORL
4;Hedo Turkoglu;10215850;ORL
5;Jameer Nelson;7800000;ORL
6;J.J. Redick;7250000;ORL
7;Brandon Bass;4000000;ORL
8;Chris Duhon;3500000;ORL
9;Quentin Richardson;2265000;ORL
10;Earl Clark;1898760;ORL
11;Ryan Anderson;1409040;ORL
12;Jason Williams;1352181;ORL
13;Malik Allen;1229255;ORL
14;Daniel Orton;1028400;ORL
1;Elton Brand;15959099;PHI
2;Andre Iguodala;12345250;PHI
3;Andres Nocioni;6850000;PHI
4;Jason Kapono;6641440;PHI
5;Louis Williams;5000000;PHI
6;Darius Songaila;4818000;PHI
7;Evan Turner;4602720;PHI
8;Spencer Hawes;2974320;PHI
9;Thaddeus Young;2901241;PHI
10;Marreese Speights;1773960;PHI
11;Jrue Holiday;1627920;PHI
12;Tony Battie;1352181;PHI
13;Craig Brackins;1306920;PHI
14;Jodie Meeks;762195;PHI
1;Vince Carter;17300000;PHO
2;Steve Nash;10310938;PHO
3;Josh Childress;6500000;PHO
4;Marcin Gortat;6322320;PHO
5;Mickael Pietrus;5300000;PHO
6;Channing Frye;5200000;PHO
7;Hakim Warrick;4250000;PHO
8;Grant Hill;3324000;PHO
9;Jared Dudley;2151068;PHO
10;Aaron Brooks;2016692;PHO
11;Robin Lopez;1867320;PHO
12;Gani Lawal;473640;PHO
13;Garret Siler;473640;PHO
14;Zabian Dowdell;242374;PHO
15;Earl Barron;188558;PHO
16;Matt Janning;58504;PHO
1;Brandon Roy;13520500;POR
2;Marcus Camby;11749832;POR
3;LaMarcus Aldridge;11244000;POR
4;Gerald Wallace;10500000;POR
5;Andre Miller;7269264;POR
6;Greg Oden;6760524;POR
7;Wesley Matthews;5765000;POR
8;Luke Babbitt;1645440;POR
9;Elliot Williams;1254720;POR
10;Rudy Fernandez;1246680;POR
11;Nicolas Batum;1196760;POR
12;Fabricio Oberto;992680;POR
13;Patrick Mills;937195;POR
14;Armon Johnson;473604;POR
15;Chris Johnson;27859;POR
1;Samuel Dalembert;13428129;SAC
2;Beno Udrih;6478600;SAC
3;Francisco Garcia;5500000;SAC
4;Tyreke Evans;3880920;SAC
5;DeMarcus Cousins;3374640;SAC
6;Marquis Daniels;2470000;SAC
7;Jason Thompson;2178000;SAC
8;Omri Casspi;1254480;SAC
9;Donte Greene;1116840;SAC
10;Luther Head;992680;SAC
11;Antoine Wright;992680;SAC
12;Darnell Jackson;854389;SAC
13;Jermaine Taylor;780871;SAC
14;Marcus Thornton;762195;SAC
15;Hassan Whiteside;730437;SAC
16;Eugene Jeter;473604;SAC
1;Tim Duncan;18700000;SAS
2;Tony Parker;13500000;SAS
3;Manu Ginobili;11854584;SAS
4;Richard Jefferson;8400000;SAS
5;Antonio McDyess;4860000;SAS
6;Tiago Splitter;3400000;SAS
7;Matt Bonner;3000000;SAS
8;James Anderson;1361400;SAS
9;George Hill;1157160;SAS
10;DeJuan Blair;918000;SAS
11;Chris Quinn;861978;SAS
