"team";"team.vol";"roster.agreg.vol";"cc";"roster.agreg.coh";"size"
"ATL";5;250.404761904762;0.969230769230769;2.85067873303167;17
"BOS";0;248.157142857143;0.920245398773006;2.12806748466258;16
"BRK";-8;316;0.844936708860759;1.2875226039783;21
"CHI";-2;179.397619047619;1;2.46666666666667;15
"CHO";5;83.3333333333333;0.975609756097561;2.07317073170732;16
"CLE";-4;97.1428571428571;1;2.2;19
"DAL";-11;196.495238095238;0.96551724137931;2.62068965517241;14
"DEN";-2;92.7857142857143;0.940959409594096;1.94072878228782;16
"DET";0;67.352380952381;1;3.25;16
"GSW";-2;167.833333333333;0.923076923076923;1.84615384615385;18
"HOU";1;113.4;1;2.05882352941176;17
"IND";-6;110.714285714286;0.965116279069767;2.57364341085271;15
"LAC";-17;296.75;0.954545454545455;1.48484848484849;18
"LAL";-7;202.492857142857;0.957446808510638;2.81914893617021;17
"MEM";0;132.383333333333;0.975609756097561;2.46771879483501;17
"MIA";-1;144.528571428571;0.965116279069767;2.59375;16
"MIL";-3;179.5;0.95778364116095;2.09515171503958;16
"MIN";2;120.166666666667;1;1.875;16
"NOP";-8;191.666666666667;1;1.36842105263158;19
"NYK";8;273.333333333333;0.829787234042553;1.17146433041302;17
"OKC";-10;130.309523809524;1;2.64705882352941;17
"ORL";3;129.142857142857;0.970717423133236;2.45534407027818;17
"PHI";-15;89.4357142857143;0.953825857519789;2.73430079155673;15
"PHO";6;303.842857142857;1;2.41176470588235;17
"POR";8;158.883333333333;0.9375;2.23958333333333;17
"SAC";-9;177.821428571429;0.934426229508197;1.99344262295082;15
"SAS";-24;129.380952380952;1;2.78947368421053;18
"TOR";-3;114.714285714286;0.98019801980198;2.26670792079208;16
"UTA";-12;94.6428571428571;0.975609756097561;2.22996515679442;14
"WAS";-15;143.542857142857;0.929889298892989;2.09225092250923;16
