"team";"team.vol";"roster.agreg.vol";"cc";"roster.agreg.coh";"size"
"ATL";-5;184.2;0.903225806451613;1.80645161290323;15
"BOS";-5;104.238095238095;1;2.16666666666667;12
"BRK";-5;194.416666666667;0.940959409594096;1.71586715867159;16
"CHI";-1;121.995238095238;1;3.13333333333333;14
"CHO";-9;84.2666666666667;0.98019801980198;1.89913366336634;15
"CLE";-13;60.4285714285714;1;2.38461538461538;12
"DAL";-21;248.42380952381;0.845070422535211;1.63732394366197;15
"DEN";-3;168.05;0.955331412103746;2.20920389048991;16
"DET";-14;80.0571428571428;0.924324324324324;2.63076923076923;13
"GSW";-5;105.25;0.969230769230769;1.93846153846154;14
"HOU";17;218;0.925233644859813;1.5783397471138;17
"IND";-16;110.666666666667;1;2.30769230769231;13
"LAC";0;134.366666666667;0.830097087378641;1.71948682385576;14
"LAL";-4;166.535714285714;0.909407665505226;2.30849638166711;13
"MEM";-2;151.947619047619;0.95778364116095;2.49023746701847;15
"MIA";-1;254.083333333333;0.956896551724138;2.92385057471264;15
"MIL";-13;157.4;0.772277227722772;1.28712871287129;15
"MIN";4;133.75;0.930769230769231;1.97788461538462;15
"NOP";7;111.833333333333;0.975609756097561;1.95121951219512;14
"NYK";-7;130.166666666667;1;2.07142857142857;14
"OKC";0;110.864285714286;1;3.1875;15
"ORL";0;139.821428571429;0.988235294117647;2.32525951557093;17
"PHI";2;107.619047619048;1;2.13333333333333;15
"PHO";-8;160.1;0.975609756097561;1.73441734417344;18
"POR";-11;129.595238095238;1;2.26666666666667;15
"SAC";-4;260.166666666667;0.922661870503597;2.15287769784173;16
"SAS";13;95.6666666666667;1;3.46666666666667;15
"TOR";-2;281;0.96551724137931;1.93103448275862;15
"UTA";6;95.3333333333333;1;2.07692307692308;13
"WAS";-2;178.833333333333;0.98019801980198;2.08292079207921;15
