"team";"team.vol";"roster.agreg.vol";"cc";"roster.agreg.coh";"size"
"ATL";17;253.107142857143;0.946153846153846;2.28190045248869;17
"BOS";-2;126.916666666667;1;1.73913043478261;23
"BRK";17;423.690476190476;0.894736842105263;1.70426065162907;21
"CHI";-3;69.7285714285714;1;3;16
"CHO";3;291.25;0.96;1.70666666666667;17
"CLE";27;204.4;0.95778364116095;1.85570580474934;16
"DAL";6;358.690476190476;0.819383259911894;1.28251292855775;22
"DEN";20;413.133333333333;1;1.95652173913043;23
"DET";-7;353.583333333333;0.980314960629921;1.57702841492639;22
"GSW";3;178.816666666667;0.975084937712344;2.69582306308707;17
"HOU";12;517.166666666667;0.951219512195122;1.90243902439024;19
"IND";22;380.183333333333;1;2;18
"LAC";11;260.37619047619;0.95778364116095;2.15501319261214;19
"LAL";-2;114.785714285714;0.921875;1.64967105263158;19
"MEM";10;386.309523809524;0.911660777385159;1.89625441696113;25
"MIA";10;146.619047619048;0.838095238095238;1.92268907563025;17
"MIL";15;249.916666666667;0.958659217877095;2.07709497206704;18
"MIN";12;153;0.98019801980198;2.06930693069307;18
"NOP";17;475.266666666667;0.999085086916743;1.95473169179363;23
"NYK";2;329.5;0.810810810810811;1.15830115830116;21
"OKC";9;150.142857142857;0.9375;2.87109375;16
"ORL";-11;134.5;1;1.65;20
"PHI";3;269.5;0.986206896551724;1.47931034482759;24
"PHO";10;348.166666666667;0.929203539823009;1.37360523278184;23
"POR";8;278.25;0.875;1.33552631578947;19
"SAC";37;460.5;0.96;1.584;19
"SAS";17;345.55;0.947780678851175;2.94310842380102;19
"TOR";18;251.464285714286;0.858520900321543;1.63527790537437;21
"UTA";5;138.9;0.986206896551724;2.05817091454273;22
"WAS";4;416.416666666667;0.854166666666667;1.78968253968254;19
