"Team";"salary_mean";"salary_sd";"per_mean";"per_median";"age_mean";"age_sd";"salary5_sum";"salary5_mean";"salary610_sum";"salary610_mean";"Time";"conf";"posicao"
"ATL";5.10498878571429;5.07659525695003;12.4;11.6;26.6153846153846;3.33012666271774;54.437;10.8874;13.748294;2.7496588;"Atlanta Hawks";"E";8
"BOS";5.86041907142857;5.46551104775487;15.7818181818182;15.2;29.4545454545455;5.16456457726373;58.089552;11.6179104;20.482264;4.0964528;"Boston Celtics";"E";8
"BRK";3.8997326;3.76737973149662;13.13;11.85;25.1818181818182;2.67649703224875;38.66359;7.732718;16.011392;3.2022784;"Brooklyn Nets";"E";24
"CHI";4.19523661538462;4.23796830911689;13.5818181818182;13.8;26.8181818181818;4.44563115469967;41.08116;8.216232;10.901717;2.1803434;"Chicago Bulls";"E";4
"CHO";3.69681644444444;2.95589550795567;11.7270588235294;11.18;26.6470588235294;4.24177404617732;38.13512;7.627024;19.819;3.9638;"Charlotte Hornets";"E";20
"CLE";3.17588358823529;4.19015260921885;13.0166666666667;12.1;26.4166666666667;4.14418175569586;41.620377;8.3240754;8.731593;1.7463186;"Cleveland Cavaliers";"E";30
"DAL";5.65157133333333;5.37176021941528;13.7076923076923;14.7;28.6153846153846;4.05253956465288;59.701078;11.9402156;21.524467;4.3048934;"Dallas Mavericks";"W";1
"DEN";4.85852071428571;4.5234279675753;13.97;14.9;25;4.24264068711928;47.928305;9.585661;15.495015;3.099003;"Denver Nuggets";"W";16
"DET";4.36785473333333;4.06321320409078;13.7461538461538;14;26.4615384615385;4.05412104356757;46.46876;9.293752;13.895166;2.7790332;"Detroit Pistons";"E";22
"GSW";4.5610224;4.255966975299;15.1545454545455;16.1;25.3636363636364;2.87307247638229;49.652053;9.9304106;16.151672;3.2303344;"Golden State Warriors";"W";24
"HOU";4.8210436;4.60992684528442;13.4461538461538;12.9;24.7692307692308;3.49174851504339;49.195283;9.8390566;16.04978;3.209956;"Houston Rockets";"W";18
"IND";4.068039375;3.59149943886654;12.7714285714286;13.25;26.4285714285714;3.89702619786077;43.838986;8.7677972;14.306009;2.8612018;"Indiana Pacers";"E";16
"LAC";3.3265830625;3.18788847582309;11.9090909090909;12.7;26.7272727272727;3.2585551734138;34.70728;6.941456;13.28;2.656;"Los Angeles Clippers";"W";26
"LAL";6.53058142857143;7.33930618458021;14.5636363636364;12.4;29.8333333333333;4.06388379695477;70.85157;14.170314;16.925;3.385;"Los Angeles Lakers";"W";8
"MEM";4.94561192857143;5.12960820868963;14.12;14.05;24.8;3.22490309931942;51.162923;10.2325846;14.5564;2.91128;"Memphis Grizzlies";"W";8
"MIA";3.67810305555556;5.08245227335278;14.8593333333333;11.9;29.7333333333333;3.8631346758571;51.7;10.34;8.585798;1.7171596;"Miami Heat";"E";2
"MIL";4.06333470588235;4.99372267731496;14.1933333333333;12.9;26.5333333333333;4.24039530951448;52.66;10.532;11.88358;2.376716;"Milwaukee Bucks";"E";18
"MIN";3.3413201875;2.68663849198268;13.6981818181818;14;23.0833333333333;2.53908835942542;29.617832;5.9235664;17.25688;3.451376;"Minnesota Timberwolves";"W";30
"NOP";4.2602060625;4.18945910203305;14.7466666666667;15.2;26;2.26778683805536;45.892559;9.1785118;16.45627;3.291254;"New Orleans Pelicans";"W";16
"NYK";4.4677708;5.9202809186007;14.25;13.35;27.1;3.81371792932362;54.489326;10.8978652;8.798181;1.7596362;"New York Knicks";"E";16
"OKC";3.99446342857143;3.23682442371861;13.9538461538462;14;23.8461538461538;3.89114708550392;35.132191;7.0264382;15.764097;3.1528194;"Oklahoma City Thunder";"W";4
"ORL";6.48362885714286;6.03042247082497;14.3333333333333;14.15;26.8333333333333;3.83366269994762;66.838168;13.3676336;18.91376;3.782752;"Orlando Magic";"E";16
"PHI";4.92251757142857;4.43299795002161;13.1090909090909;13.8;25.7272727272727;4.90083480829356;46.795789;9.3591578;17.070241;3.4140482;"Philadelphia 76ers";"E";16
"PHO";4.123690875;4.56595255881074;15.0625;15.2;26.25;3.4948942350643;45.733258;9.1466516;16.94176;3.388352;"Phoenix Suns";"W";20
"POR";5.32544278571429;4.81690639974621;15.967;17.745;26.2727272727273;5.2742944379492;54.283596;10.8567192;16.672364;3.3344728;"Portland Trail Blazers";"W";16
"SAC";2.8292790625;3.3588143189842;12.4;12.4;24.4615384615385;3.07179059115322;32.662289;6.5324578;8.012;1.6024;"Sacramento Kings";"W";28
"SAS";4.3140110625;5.7421276423793;14.6166666666667;13.9;28.0833333333333;4.66043956829149;57.314584;11.4629168;9.83656;1.967312;"San Antonio Spurs";"W";16
"TOR";3.88349877777778;3.9116989607557;12.7907692307692;12.5;24.3846153846154;3.68642694078475;44.576;8.9152;17.599537;3.5199074;"Toronto Raptors";"E";28
"UTA";5.41823542857143;5.29471161152796;14.0272727272727;15.6;27.2727272727273;3.82337309429538;57.349;11.4698;14.5696;2.91392;"Utah Jazz";"W";22
"WAS";3.42349705882353;4.5494787585036;14.4818181818182;13.2;26.1818181818182;3.48764051525331;40.233257;8.0466514;12.545739;2.5091478;"Washington Wizards";"E";26
