"Team";"salary_mean";"salary_sd";"per_mean";"per_median";"age_mean";"age_sd";"salary5_sum";"salary5_mean";"salary610_sum";"salary610_mean";"Time";"conf";"posicao"
"ATL";3.70935361111111;3.90211495188833;13.5266666666667;14;26.4666666666667;3.46135123628799;43.94875;8.78975;16.073527;3.2147054;"Atlanta Hawks";"E";16
"BOS";4.28408694117647;4.95153176882188;13.1333333333333;14.7;26.7333333333333;4.92031745007614;53.74161;10.748322;14.335162;2.8670324;"Boston Celtics";"E";16
"BRK";6.28972261538462;7.14688382057871;13.6666666666667;12.9;28.1;4.40832545682976;72.281625;14.456325;8.487303;1.6974606;"Brooklyn Nets";"E";16
"CHI";5.77214846153846;5.9292132857339;15.0666666666667;13.65;27.8333333333333;3.88079966767238;61.0075;12.2015;10.758173;2.1516346;"Chicago Bulls";"E";8
"CHO";3.96013564285714;3.35729576584586;11.475;11.8;24.1666666666667;2.97972949758663;37.37492;7.474984;14.389707;2.8779414;"Charlotte Hornets";"E";28
"CLE";3.38299315;3.49769431254807;10.5529411764706;11.1;24.6470588235294;3.60453146176081;39.631957;7.9263914;17.709986;3.5419972;"Cleveland Cavaliers";"E";26
"DAL";3.61754038888889;5.07158613196498;13.4714285714286;13.65;29;4.48930352658919;47.872492;9.5744984;12.913237;2.5826474;"Dallas Mavericks";"W";20
"DEN";4.285378875;4.03677860889728;16.2357142857143;16.9;25.0714285714286;4.17804307733225;45.337664;9.0675328;16.453958;3.2907916;"Denver Nuggets";"W";16
"DET";4.50410692857143;3.69583732122303;14.9111111111111;14.2;26.2222222222222;4.05517502019881;43.530729;8.7061458;16.07956;3.215912;"Detroit Pistons";"E";22
"GSW";5.36118046153846;4.41533999162029;15.8222222222222;15.2;26.3333333333333;3;50.308;10.0616;17.042782;3.4085564;"Golden State Warriors";"W";8
"HOU";2.49233856521739;2.54400114745514;12.0133333333333;11.7;24.8;3.14415557593995;33.929406;6.7858812;12.610122;2.5220244;"Houston Rockets";"W";16
"IND";4.437689;4.5365827148564;14.8727272727273;15.7;25.2727272727273;2.83163942234562;48.745356;9.7490712;14.129379;2.8258758;"Indiana Pacers";"E";4
"LAC";4.6471530625;4.72997189037767;13.94375;13.25;28.0625;5.2848052628897;51.739327;10.3478654;16.68272;3.336544;"Los Angeles Clippers";"W";16
"LAL";6.69677286666667;8.56406743124264;14.0923076923077;11.5;28.3846153846154;5.20478083974182;82.544469;16.5088938;13.984708;2.7969416;"Los Angeles Lakers";"W";16
"MEM";4.83796523076923;5.05540379240991;14.1545454545455;15.3;25.2727272727273;3.5239440713754;47.76119;9.552238;12.405654;2.4811308;"Memphis Grizzlies";"W";4
"MIA";5.67901271428571;6.5783983156956;14;11.4;27.4615384615385;3.61974641412408;62.132;12.4264;15.475;3.095;"Miami Heat";"E";1
"MIL";4.165093;2.97968619079869;15.7608333333333;16.65;26.6666666666667;3.33938843974689;38.475965;7.695193;17.241325;3.448265;"Milwaukee Bucks";"E";16
"MIN";3.51230461111111;3.5134516666753;14.65;14.1;24.6363636363636;3.58532361922121;38.461139;7.6922278;17.74423;3.548846;"Minnesota Timberwolves";"W";24
"NOP";4.24969613333333;4.40230705400214;13.0272727272727;12.1;25.1818181818182;4.21469291451185;46.112323;9.2224646;13.50936;2.701872;"New Orleans Pelicans";"W";28
"NYK";5.19805953333333;6.7183418982215;15.016;14.75;29.3636363636364;5.04524979109513;61.64738;12.329476;12.732265;2.546453;"New York Knicks";"E";8
"OKC";4.52421626666667;5.41495303788631;13.925;12.2;25.6153846153846;4.53759226790416;54.178586;10.8357172;9.645674;1.9291348;"Oklahoma City Thunder";"W";8
"ORL";4.58499042105263;5.1875367946716;12.4;13.2;26.6923076923077;4.36624582039337;56.345772;11.2691544;21.4836;4.29672;"Orlando Magic";"E";30
"PHI";4.91696488235294;5.07323856512752;13.8266666666667;13.3;25.6666666666667;4.08248290463863;55.537609;11.1075218;20.818124;4.1636248;"Philadelphia 76ers";"E";18
"PHO";3.33507435294118;2.54515546360183;13.175;13.3;26;3.51619629196613;33.50896;6.701792;16.05856;3.211712;"Phoenix Suns";"W";30
"POR";4.33275629411765;4.71268025594739;13.197;12.72;24.3;2.40601099101581;51.215125;10.243025;13.143793;2.6287586;"Portland Trail Blazers";"W";22
"SAC";3.87981685714286;2.14863527752292;13.7384615384615;14.5;24.3846153846154;3.09673111356856;31.596075;6.319215;15.388286;3.0776572;"Sacramento Kings";"W";26
"SAS";4.642797;4.60666077080604;16.9076923076923;16.6;27.2307692307692;5.16645988006369;50.805796;10.1611592;14.33592;2.867184;"San Antonio Spurs";"W";2
"TOR";4.1859101875;4.19846088249664;13.7181818181818;12.8;25.4545454545455;1.9679246105294;44.460538;8.8921076;16.71029;3.342058;"Toronto Raptors";"E";20
"UTA";4.97828069230769;4.06176175554445;15.6166666666667;15.25;25.5;5.03623235798711;45.144453;9.0288906;15.30472;3.060944;"Utah Jazz";"W";18
"WAS";3.87675135294118;4.16431962621381;11.8214285714286;12.15;25.6428571428571;3.62909488307066;46.783342;9.3566684;12.4222;2.48444;"Washington Wizards";"E";24
