Rk;Player;Salary;Team 
7;Mike Dunleavy;3565080;GSW
8;Jason Richardson;3534018;GSW
9;Speedy Claxton;3300000;GSW
10;Troy Murphy;2231808;GSW
11;Mickael Pietrus;1785960;GSW
12;Andris Biedrins;1727760;GSW
13;Calbert Cheaney;1600000;GSW
14;Ansu Sesay;745046;GSW
15;Luis Flores;385277;GSW
1;Tracy McGrady;14487000;HOU
2;Maurice Taylor;8450000;HOU
3;Clarence Weatherspoon;5899400;HOU
4;Juwan Howard;5408700;HOU
5;Dikembe Mutombo;4496434;HOU
6;Yao Ming;4436880;HOU
7;Matt Maloney;3237500;HOU
8;Bob Sura;3200000;HOU
9;Jim Jackson;2420000;HOU
10;Charlie Ward;1700000;HOU
11;Tyronn Lue;1600000;HOU
12;Bostjan Nachbar;1493880;HOU
13;Reece Gaines;1454640;HOU
14;Scott Padgett;807546;HOU
15;Ryan Bowen;807046;HOU
16;Andre Barrett;385277;HOU
1;Jermaine ONeal;14796000;IND
2;Austin Croshere;8260000;IND
3;Jonathan Bender;6525000;IND
4;Metta World Peace;6157895;IND
5;Scot Pollard;5792250;IND
6;Reggie Miller;5500000;IND
7;Stephen Jackson;5100000;IND
8;Jeff Foster;4500000;IND
9;Anthony Johnson;2200000;IND
10;Fred Jones;1572480;IND
11;Jamaal Tinsley;1554326;IND
12;Michael Curry;845122;IND
13;David Harrison;835560;IND
14;Eddie Gill;720046;IND
15;James Jones;620046;IND
16;Marcus Haislip;576380;IND
17;John Edwards;385277;IND
18;Tremaine Fowlkes;79029;IND
19;Britton Johnsen;45369;IND
1;Elton Brand;12056000;LAC
2;Kerry Kittles;9566667;LAC
3;Corey Maggette;7000000;LAC
4;Shaun Livingston;3027840;LAC
5;Chris Kaman;2574240;LAC
6;Zeljko Rebraca;2500000;LAC
7;Chris Wilcox;2210880;LAC
8;Marko Jaric;2100000;LAC
9;Rick Brunson;932546;LAC
10;Mikki Moore;870046;LAC
11;Bobby Simmons;825000;LAC
12;Mamadou NDiaye;750000;LAC
13;Quinton Ross;620046;LAC
14;Lionel Chalmers;450000;LAC
1;Kobe Bryant;14175000;LAL
2;Brian Grant;13233434;LAL
3;Lamar Odom;10548596;LAL
4;Vlade Divac;4903000;LAL
5;Devean George;4546000;LAL
6;Chucky Atkins;4200000;LAL
7;Chris Mihm;3371393;LAL
8;Stanislav Medvedenko;3000000;LAL
9;Caron Butler;1930680;LAL
10;Jumaine Jones;1687500;LAL
11;Brian Cook;971160;LAL
12;Sasha Vujacic;846840;LAL
13;Tierre Brown;720046;LAL
14;Luke Walton;620046;LAL
15;Tony Bobbitt;305403;LAL
1;Bonzi Wells;7700000;MEM
2;Lorenzen Wright;7150000;MEM
3;Jason Williams;6875000;MEM
4;Bo Outlaw;6573148;MEM
5;Mike Miller;6000000;MEM
6;Stromile Swift;5993105;MEM
7;James Posey;5408700;MEM
8;Brian Cardinal;4903000;MEM
9;Pau Gasol;4318481;MEM
10;Shane Battier;3212402;MEM
11;Jake Tsakalidis;2900000;MEM
12;Earl Watson;1458000;MEM
13;Troy Bell;1381920;MEM
14;Ryan Humphrey;1223160;MEM
15;Dahntay Jones;1143360;MEM
16;Antonio Burks;385277;MEM
17;Andre Emmett;385277;MEM
1;Shaquille ONeal;27696430;MIA
2;Eddie Jones;13455000;MIA
3;Dwyane Wade;2834160;MIA
4;Damon Jones;2503000;MIA
5;Michael Doleac;2400000;MIA
6;Malik Allen;1950625;MIA
7;Wesley Person;1600000;MIA
8;Rasual Butler;1200000;MIA
9;Dorell Wright;1152240;MIA
10;Christian Laettner;1100000;MIA
11;Shandon Anderson;873699;MIA
12;Keyon Dooling;745046;MIA
13;Wang Zhizhi;745046;MIA
14;Jerome Beasley;620046;MIA
15;Udonis Haslem;620046;MIA
16;Matt Freije;28191;MIA
1;Keith Van Horn;14487000;MIL
2;Desmond Mason;6529630;MIL
3;Joe Smith;5899400;MIL
4;Anthony Mason;4710435;MIL
5;Jason Caffey;4148148;MIL
6;Mike James;3100000;MIL
7;Toni Kukoc;3000000;MIL
8;Michael Redd;3000000;MIL
9;T.J. Ford;2152800;MIL
10;Erick Strickland;1650000;MIL
11;Mo Williams;1600000;MIL
12;Marcus Haislip;1400000;MIL
13;Daniel Santiago;1320000;MIL
14;Kendall Gill;912195;MIL
15;Zendon Hamilton;807546;MIL
16;Marcus Fizer;735960;MIL
17;Dan Gadzuric;695046;MIL
18;Zaza Pachulia;620046;MIL
19;Eddie House;563327;MIL
20;Anthony Goldwire;116713;MIL
1;Kevin Garnett;16000000;MIN
2;Latrell Sprewell;14625000;MIN
3;Wally Szczerbiak;9000000;MIN
4;Sam Cassell;6250000;MIN
5;Michael Olowokandi;5408700;MIN
6;Troy Hudson;4903000;MIN
7;Ervin Johnson;4837633;MIN
8;Trenton Hassell;4350000;MIN
9;Fred Hoiberg;1600000;MIN
10;Ndudi Ebi;901440;MIN
11;Anthony Carter;807546;MIN
12;Mark Madsen;745046;MIN
13;Eddie Griffin;695046;MIN
1;Baron Davis;12330000;NOP
2;Jamal Mashburn;9300000;NOP
3;Jamaal Magloire;8533333;NOP
4;P.J. Brown;8000000;NOP
5;David Wesley;4455000;NOP
6;George Lynch;3000000;NOP
7;Rodney Rogers;2700000;NOP
8;Chris Andersen;1600000;NOP
9;David West;1247160;NOP
10;J.R. Smith;1206600;NOP
11;Dan Dickau;893400;NOP
12;Lee Nailon;745046;NOP
13;Junior Harrington;695046;NOP
14;Alex Garcia;620046;NOP
15;Lonny Baxter;542475;NOP
16;Matt Freije;352388;NOP
17;Corsley Edwards;319498;NOP
18;Tim Pickett;32890;NOP
1;Allan Houston;17531250;NYK
2;Anfernee Hardaway;14625000;NYK
3;Stephon Marbury;14625000;NYK
4;Tim Thomas;12900000;NYK
5;Shandon Anderson;7300000;NYK
6;Jerome Williams;6187500;NYK
7;Kurt Thomas;5884500;NYK
8;Jamal Crawford;5760000;NYK
9;Nazr Mohammed;5250000;NYK
10;Moochie Norris;3850000;NYK
11;Vin Baker;3500000;NYK
12;Mike Sweetney;1978920;NYK
13;John Amaechi;1200000;NYK
14;Bruno Sundov;870046;NYK
15;Jamison Brewer;720046;NYK
16;Trevor Ariza;385277;NYK
1;Ray Allen;14625000;OKC
2;Rashard Lewis;7792208;OKC
3;Vitaly Potapenko;6191250;OKC
4;Danny Fortson;5818136;OKC
5;Jerome James;5455200;OKC
6;Vladimir Radmanovic;2300984;OKC
7;Antonio Daniels;2200000;OKC
8;Nick Collison;1969680;OKC
9;Robert Swift;1641360;OKC
10;Ibo Kutluay;1600000;OKC
11;Luke Ridnour;1531200;OKC
12;Reggie Evans;880000;OKC
13;Mateen Cleaves;735960;OKC
14;Ronald Murray;695046;OKC
15;Damien Wilkins;385277;OKC
1;Grant Hill;14487000;ORL
2;Steve Francis;12330000;ORL
3;Kelvin Cato;7992000;ORL
4;Cuttino Mobley;5884500;ORL
5;Hedo Turkoglu;4903000;ORL
6;Tony Battie;4800000;ORL
7;Dwight Howard;4179720;ORL
8;Pat Garrity;2937500;ORL
9;Andrew DeClercq;2500000;ORL
10;DeShawn Stevenson;2500000;ORL
11;Jameer Nelson;1106160;ORL
12;Stacey Augmon;1100000;ORL
13;Michael Bradley;720046;ORL
14;Brandon Hunter;620046;ORL
15;Mario Kasun;385277;ORL
1;Allen Iverson;14625000;PHI
2;Glenn Robinson;12071250;PHI
3;Kenny Thomas;6000000;PHI
4;Todd MacCulloch;5899400;PHI
5;Aaron McKie;5500000;PHI
6;Corliss Williamson;5500000;PHI
7;Brian Skinner;4500000;PHI
8;Marc Jackson;4225000;PHI
9;Kevin Ollie;2704350;PHI
10;Kedrick Brown;2332388;PHI
11;Andre Iguodala;1914480;PHI
12;Greg Buckner;1777778;PHI
13;Samuel Dalembert;1599549;PHI
14;John Salmons;925680;PHI
15;Josh Davis;620046;PHI
16;Willie Green;620046;PHI
17;Kyle Korver;620046;PHI
18;Efthimi Rentzias;516865;PHI
1;Shawn Marion;12330000;PHO
2;Steve Nash;8750000;PHO
3;Quentin Richardson;5800000;PHO
4;Howard Eisley;5201923;PHO
5;Joe Johnson;2358954;PHO
6;Amare Stoudemire;2032200;PHO
7;Jake Voskuhl;1687500;PHO
8;Zarko Cabarkapa;1312800;PHO
9;Casey Jacobsen;1082160;PHO
10;Bo Outlaw;1059756;PHO
11;Maciej Lampe;900000;PHO
12;Leandro Barbosa;870000;PHO
13;Steven Hunter;720046;PHO
14;Jackson Vroman;385277;PHO
15;Yuta Tabuse;108066;PHO
1;Shareef Abdur-Rahim;14625000;POR
2;Damon Stoudamire;12500000;POR
3;Nick Van Exel;11933252;POR
4;Theo Ratliff;10937500;POR
5;Derek Anderson;8443500;POR
6;Darius Miles;6750000;POR
7;Ruben Patterson;5899400;POR
8;Arvydas Sabonis;3000000;POR
9;Sebastian Telfair;1559280;POR
10;Zach Randolph;1504272;POR
11;Joel Przybilla;1500000;POR
12;Qyntel Woods;1127280;POR
13;Vladimir Stepania;1100000;POR
14;Viktor Khryapa;1019400;POR
15;Travis Outlaw;1011600;POR
16;Richie Frahm;695046;POR
17;Geno Carlisle;65779;POR
1;Chris Webber;17531250;SAC
2;Mike Bibby;10500000;SAC
3;Brad Miller;7875000;SAC
4;Doug Christie;7550000;SAC
5;Peja Stojakovic;6875000;SAC
6;Greg Ostertag;4000000;SAC
7;Bobby Jackson;3150000;SAC
8;Darius Songaila;1600000;SAC
9;Kevin Martin;872040;SAC
10;Matt Barnes;695046;SAC
11;Maurice Evans;695046;SAC
12;Erik Daniels;385277;SAC
13;Courtney Alexander;79029;SAC
1;Tim Duncan;14260641;SAS
2;Manu Ginobili;6603500;SAS
3;Rasho Nesterovic;6160000;SAS
4;Malik Rose;5462500;SAS
5;Brent Barry;4264900;SAS
6;Bruce Bowen;3000000;SAS
7;Tony Parker;1545441;SAS
8;Tony Massenburg;1100000;SAS
9;Robert Horry;1100000;SAS
10;Beno Udrih;841680;SAS
11;Sean Marks;745046;SAS
12;Mike Wilks;720046;SAS
13;Devin Brown;695046;SAS
14;Linton Johnson;620046;SAS
15;Romain Sato;385277;SAS
1;Jalen Rose;14487000;TOR
2;Alvin Williams;5850000;TOR
3;Alonzo Mourning;5408700;TOR
4;Donyell Marshall;5023850;TOR
5;Lamond Murray;4875000;TOR
6;Morris Peterson;4400000;TOR
7;Aaron Williams;3790257;TOR
8;Eric Williams;3580000;TOR
9;Rafer Alston;3500000;TOR
10;Chris Bosh;3129720;TOR
11;Rafael Araujo;2082720;TOR
12;Jerome Moiso;1760000;TOR
13;Nate Huffman;1280000;TOR
14;Milt Palacio;807546;TOR
15;Loren Woods;755000;TOR
16;Matt Bonner;385277;TOR
17;Pape Sow;385277;TOR
18;Roger Mason;203428;TOR
1;Carlos Boozer;10967500;UTA
2;Mehmet Okur;7500000;UTA
3;Matt Harpring;4690000;UTA
4;Carlos Arroyo;4000000;UTA
5;Gordan Giricek;4000000;UTA
6;Jarron Collins;1700000;UTA
7;Andrei Kirilenko;1671694;UTA
8;Kris Humphries;1481400;UTA
9;Kirk Snyder;1336920;UTA
10;Raja Bell;1320000;UTA
11;Curtis Borchardt;1280880;UTA
12;Howard Eisley;1100000;UTA
13;Raul Lopez;997320;UTA
14;Keith McLeod;750000;UTA
15;Aleksandar Radojevic;720046;UTA
1;Antawn Jamison;12584688;WAS
2;Gilbert Arenas;9389600;WAS
3;Larry Hughes;5455200;WAS
4;Kwame Brown;5361873;WAS
5;Etan Thomas;4903000;WAS
6;Jarvis Hayes;1879920;WAS
7;Jared Jeffries;1834080;WAS
8;Brendan Haywood;1735305;WAS
9;Anthony Peeler;1600000;WAS
10;Juan Dixon;1348200;WAS
11;Samaki Walker;995046;WAS
12;Laron Profit;745046;WAS
13;Michael Ruffin;745046;WAS
14;Steve Blake;620046;WAS
15;Peter John Ramos;600000;WAS
