"g";"MANDANTE";"VISITANTE";"h";"a";"y1";"y2"
199;"Corinthians";"Atlético-MG";6;1;"1";"0"
200;"Cruzeiro";"Bahia";9;3;"2";"1"
201;"Chapecoense";"Sport";5;19;"3";"1"
202;"Fluminense";"Palmeiras";12;16;"3";"0"
203;"Santos";"Coritiba";17;7;"2";"1"
204;"Bahia";"Figueirense";3;10;"3";"0"
205;"Internacional";"Botafogo";15;4;"2";"0"
206;"Flamengo";"Corinthians";11;6;"1";"0"
207;"São Paulo";"Cruzeiro";18;9;"2";"0"
208;"Atlético-MG";"Grêmio";1;14;"0";"0"
209;"Criciúma";"Goiás";8;13;"1";"0"
210;"Atlético-PR";"Vitória";2;20;"2";"0"
211;"Vitória";"Fluminense";20;12;"3";"1"
212;"Cruzeiro";"Atlético-PR";9;2;"2";"0"
213;"Sport";"Internacional";19;15;"0";"0"
214;"Figueirense";"Criciúma";10;8;"1";"1"
215;"Coritiba";"São Paulo";7;18;"3";"1"
216;"Botafogo";"Bahia";4;3;"2";"3"
217;"Palmeiras";"Flamengo";16;11;"2";"2"
218;"Goiás";"Atlético-MG";13;1;"2";"3"
219;"Corinthians";"Chapecoense";6;5;"1";"1"
220;"Grêmio";"Santos";14;17;"0";"0"
221;"Atlético-PR";"Internacional";2;15;"0";"1"
222;"Criciúma";"Botafogo";8;4;"1";"1"
223;"Cruzeiro";"Atlético-MG";9;1;"2";"3"
224;"Corinthians";"São Paulo";6;18;"3";"2"
225;"Vitória";"Bahia";20;3;"2";"1"
226;"Flamengo";"Fluminense";11;12;"1";"1"
227;"Sport";"Coritiba";19;7;"1";"0"
228;"Grêmio";"Chapecoense";14;5;"1";"0"
229;"Santos";"Figueirense";17;10;"3";"1"
230;"Goiás";"Palmeiras";13;16;"6";"0"
231;"Coritiba";"Cruzeiro";7;9;"1";"2"
232;"Internacional";"Criciúma";15;8;"3";"0"
233;"Bahia";"Sport";3;19;"1";"0"
234;"Chapecoense";"Atlético-PR";5;2;"3";"0"
235;"Figueirense";"Corinthians";10;6;"1";"0"
