"ano";"jogos";"equipes";"jogos.equipe";"prob.1";"prob.2";"prob.3";"perc.var";"cv";"pch";"retirados";"equipes.retiradas";"perc.var2"
2006;380;20;38;0.502631578947368;0.242105263157895;0.255263157894737;0.0683564249030058;23.4212973514819;19;1;"+Sao Paulo";-0.115587597953309
2007;380;20;38;0.505263157894737;0.257894736842105;0.236842105263158;0.0585970150695983;22.4483069043937;19;1;"-America RN";0.00248079137012535
2008;380;20;38;0.547368421052632;0.2;0.252631578947368;0.0533637075407726;21.5001848393174;19;1;"+Sao Paulo";-0.176790390707505
2009;380;20;38;0.513157894736842;0.218421052631579;0.268421052631579;0.0249389416256787;18.4376473838743;18;0;".";0.0249389416256787
2010;380;20;38;0.471052631578947;0.218421052631579;0.310526315789474;0.0636485014082378;23.0842940901668;19;1;"-Barueri";0.00848501741095997
2011;380;20;38;0.484210526315789;0.239473684210526;0.276315789473684;0.0427303443406101;20.7921552166651;19;1;"-Avai";-0.388936837104
2012;380;20;38;0.481578947368421;0.242105263157895;0.276315789473684;0.0835181649889134;25.0139527055624;19;1;"+Fluminense";-0.446854183087486
2013;380;20;38;0.484210526315789;0.231578947368421;0.284210526315789;0.0593552137614165;22.5865902318703;19;1;"-Nautico";-0.113928134955406
2014;380;20;38;0.518421052631579;0.239473684210526;0.242105263157895;0.0915330769094144;25.5093274880183;19;1;"+Cruzeiro";-0.264279861796652
2015;380;20;38;0.526315789473684;0.234210526315789;0.239473684210526;0.0631279451518802;22.7487389928102;19;1;"+Corinthians";-0.508653143794426
