"ano";"jogos";"equipes";"jogos.equipe";"prob.1";"prob.2";"prob.3";"perc.var";"cv";"pch";"retirados";"equipes.retiradas";"perc.var2"
2006;240;16;30;0.554166666666667;0.15;0.295833333333333;0.0238499414681208;19.1592619324651;18;0;".";0.0238499414681208
2007;240;16;30;0.545833333333333;0.158333333333333;0.295833333333333;-0.0150669456346637;15.7721804433558;18;0;".";-0.0150669456346637
2008;272;17;32;0.569852941176471;0.158088235294118;0.272058823529412;0.0618624435470215;23.1381934526254;19;1;"-RC Kouba";-0.373760125864287
2009;306;18;34;0.53921568627451;0.156862745098039;0.303921568627451;0.0819609128433267;25.0364440248963;19;1;"-Hussein Dey";-0.340617441853825
2010;240;16;30;0.583333333333333;0.133333333333333;0.283333333333333;0.0369766758395896;20.4433527358611;19;1;"+ASO Chlef";0.0255055438091743
2011;240;16;30;0.545833333333333;0.179166666666667;0.275;0.04453870839561;22.0070193981874;19;1;"-Saida";0.0184830254424315
2012;240;16;30;0.433333333333333;0.354166666666667;0.2125;0.111598103293605;29.1244906806569;19;1;"+ES Setif";-0.115040243402837
2013;240;16;30;0.533333333333333;0.208333333333333;0.258333333333333;0.129744250875784;30.1869261763238;19;2;"+USM Alger ,-Oran";-0.177901161269547
2014;240;16;30;0.5375;0.179166666666667;0.283333333333333;-0.680153607114435;9.20381721327457;19;1;"-Bel Abbes";-0.0152169881686188
2015;240;16;30;0.5;0.154166666666667;0.345833333333333;0.067458292410733;24.6481482954347;19;1;"-ASM Oran";-0.0379215327247378
