"ano";"jogos";"equipes";"jogos.equipe";"prob.1";"prob.2";"prob.3";"perc.var";"cv";"pch";"retirados";"equipes.retiradas";"perc.var2"
2006;380;20;38;0.555263157894737;0.178947368421053;0.265789473684211;0.0146806509996195;16.5526709553638;18;0;".";0.0146806509996195
2007;380;20;38;0.552631578947368;0.202631578947368;0.244736842105263;0.0169168173252756;17.1110771588579;18;0;".";0.0169168173252756
2008;380;20;38;0.560526315789474;0.194736842105263;0.244736842105263;0.086910455474166;24.7614097759269;19;1;"+Corinthians";-0.312733172751222
2009;380;20;38;0.536842105263158;0.257894736842105;0.205263157894737;0.0432218363653067;20.683166878066;19;1;"+Vasco";-0.120653072486097
2010;380;20;38;0.518421052631579;0.252631578947368;0.228947368421053;0.00914984844856733;16.5955318711817;18;0;".";0.00914984844856733
2011;380;20;38;0.476315789473684;0.252631578947368;0.271052631578947;0.0969967141333272;26.2754075920518;19;1;"-Duque de Caxias";-0.233533637684621
2012;380;20;38;0.513157894736842;0.260526315789474;0.226315789473684;0.108006622654797;26.9556597450926;19;1;"+Goias";0.00109306423513416
2013;380;20;38;0.521052631578947;0.25;0.228947368421053;0.0538985605323399;21.8675492139774;19;1;"+Palmeiras";-0.0725545645749481
2014;379;20;37.9;0.506596306068602;0.255936675461741;0.237467018469657;0.0513463789296327;21.7293150148047;19;1;"-Portuguesa";-0.441154559278101
2015;380;20;38;0.513157894736842;0.215789473684211;0.271052631578947;0.0885738106888341;25.2805257244528;19;1;"-Mogi Mirim";-0.376245231129325
