"ano";"jogos";"equipes";"jogos.equipe";"prob.1";"prob.2";"prob.3";"perc.var";"cv";"pch";"retirados";"equipes.retiradas";"perc.var2"
2006;380;20;38;0.463157894736842;0.255263157894737;0.281578947368421;0.246741708466477;37.4703393388291;19;1;"+Juventus";0.0194590554233265
2007;380;20;38;0.455263157894737;0.244736842105263;0.3;0.189405150294841;33.8052033596476;19;1;"+Inter";0.00671457001246056
2008;380;20;38;0.460526315789474;0.244736842105263;0.294736842105263;0.144916056879635;30.4320011552359;19;1;"+Inter";-0.231440575015186
2009;380;20;38;0.505263157894737;0.244736842105263;0.25;0.141665890832513;29.7850556067322;19;1;"+Inter";0.0053859382207973
2010;380;20;38;0.489473684210526;0.242105263157895;0.268421052631579;0.122505260675742;28.3929114139632;19;1;"+Inter";-0.181550570922202
2011;380;20;38;0.471052631578947;0.273684210526316;0.255263157894737;0.124036527298865;28.559098348531;19;2;"+AC Milan ,+Brescia";0.0305584419715615
2012;380;20;38;0.455263157894737;0.252631578947368;0.292105263157895;0.123202393226553;28.6868531625645;19;1;"+Juventus";0.0171280864986452
2013;380;20;38;0.465789473684211;0.281578947368421;0.252631578947368;0.166610725088578;31.8297862957179;19;1;"+Juventus";-0.154002854424354
2014;380;20;38;0.476315789473684;0.286842105263158;0.236842105263158;0.247012610476704;37.0456925876765;19;1;"+Juventus";-0.0866636629608013
2015;380;20;38;0.4;0.284210526315789;0.315789473684211;0.139009297154741;30.2628829596261;19;1;"+Juventus";0.0336224891953799
