"ano";"jogos";"equipes";"jogos.equipe";"prob.1";"prob.2";"prob.3";"perc.var";"cv";"pch";"retirados";"equipes.retiradas";"perc.var2"
2006;380;20;38;0.452631578947368;0.289473684210526;0.257894736842105;0.0913092513570016;25.8482121527896;19;1;"-Gimnastic";0.00924269554170942
2007;380;20;38;0.478947368421053;0.292105263157895;0.228947368421053;0.107254569088144;27.0597828521959;19;1;"+Real Madrid";-0.181926121674453
2008;380;20;38;0.484210526315789;0.297368421052632;0.218421052631579;0.112818113234482;27.4697728460423;19;1;"+Barcelona";-0.499518031431141
2009;380;20;38;0.510526315789474;0.239473684210526;0.25;0.224065651392169;35.5940512683444;19;1;"+Barcelona";-0.19968601811407
2010;380;20;38;0.518421052631579;0.273684210526316;0.207894736842105;0.169738942979677;31.610281711316;19;1;"+Barcelona";-0.105221138547906
2011;380;20;38;0.494736842105263;0.257894736842105;0.247368421052632;0.171011294466226;32.0132853549935;19;1;"+Real Madrid";-0.182012803334817
2012;380;20;38;0.497368421052632;0.281578947368421;0.221052631578947;0.196534731800223;33.6146513109356;19;1;"+Barcelona";-0.0109851794916653
2013;380;20;38;0.471052631578947;0.302631578947368;0.226315789473684;0.211216592044321;34.7010826287645;19;1;"+Atl. Madrid";-0.0623745985547865
2014;380;20;38;0.45;0.310526315789474;0.239473684210526;0.289943258130085;39.6828347739894;19;1;"+Barcelona";0.0124543418387439
2015;380;20;38;0.536842105263158;0.265789473684211;0.197368421052632;0.179692265316195;32.1703091158874;19;1;"+Barcelona";-0.110348953650232
